Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports
abdera,1500,16,12,679,60506,97,11036,5
accumulo,10961,170,38,2153,390779,736,103459,111
ace,1603,15,0,529,58600,128,17867,17
activemq,10887,152,72,4383,424832,2138,217537,33
airavata,9413,85,18,1077,485205,109,10501,3
ambari,24588,230,77,3306,424392,947,185955,430
ant-antlibs-antunit,231,14,11,37,3037,15,1172,0
ant-antlibs-dotnet,85,3,4,22,2779,1,5,0
ant,14719,108,92,1322,145241,412,34449,0
bookkeeper,2496,148,37,2163,244491,634,105823,158
brooklyn,217,33,13,3279,352360,1414,159650,55
bval,1103,15,12,319,22558,112,5545,1
calcite,4638,356,65,2134,333165,311,141577,12
camel,53393,1071,180,20484,1564382,10864,617046,3572
wicket,21098,136,283,3269,217887,1438,81163,154
wink,895,15,12,1372,126070,799,74522,198
wookie,1921,13,11,295,27851,65,11463,1
xalan-j,4561,34,84,958,170768,9,1027,0
xerces2-j,5510,34,98,833,140948,65,11763,0
xmlbeans,1594,24,39,1027,133073,521,52580,2
xmlgraphics-commons,587,16,16,400,35749,74,5267,13
yetus,1342,97,15,13,606,0,0,0
zeppelin,4910,484,33,947,162068,274,38071,69
zookeeper,2337,218,118,888,114798,400,57294,41
