Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks
chainsaw,934,9,35,226,27916,15,730,0,0
ftpserver,977,13,12,362,22128,125,7819,0,0
commons-lang,6405,209,85,436,61840,190,8046,5,1
creadur-whisker,487,7,1,163,6733,48,1062,0,0
pig,3696,44,59,1861,385309,532,116047,6,1
httpcomponents-client,3270,77,123,700,70920,249,35801,46,1
jena,9179,96,60,6164,591376,1821,189018,4,1
openwebbeans,3976,31,63,1729,89796,1096,36688,0,0
knox,2532,72,74,2115,168463,621,78332,144,1
hive,15681,438,56,9620,1784241,2096,372591,201,3
