method, origin, count
mock,org.mockito.Mockito,382
verify,org.mockito.Mockito,113
times,org.mockito.Mockito,102
anyLong,org.mockito.ArgumentMatchers,21
eq,org.mockito.ArgumentMatchers,105
when,org.mockito.Mockito,181
anyString,org.mockito.ArgumentMatchers,20
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.util.concurrent.CompletableFuture<java.lang.Boolean>>,4
spy,org.mockito.Mockito,43
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,42
any,org.mockito.ArgumentMatchers,181
isA,org.mockito.ArgumentMatchers,2
doAnswer,org.mockito.Mockito,26
answerVoid,org.mockito.AdditionalAnswers,2
thenThrow,org.mockito.stubbing.OngoingStubbing<io.netty.buffer.ByteBuf>,7
anyInt,org.mockito.ArgumentMatchers,12
getArgument,org.mockito.invocation.InvocationOnMock,19
whenNew,org.powermock.api.mockito.PowerMockito,105
mockStatic,org.powermock.api.mockito.PowerMockito,30
doThrow,org.mockito.Mockito,5
anyBoolean,org.mockito.ArgumentMatchers,3
setInternalState,org.powermock.reflect.Whitebox,1
callRealMethod,org.mockito.invocation.InvocationOnMock,1
isSpy,org.mockito.MockingDetails,1
mockingDetails,org.mockito.Mockito,1
getInternalState,org.powermock.reflect.Whitebox,1
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.util.concurrent.CompletableFuture<java.lang.Long>>,6
defaultAnswer,org.mockito.MockSettings,1
useConstructor,org.mockito.MockSettings,1
withSettings,org.mockito.Mockito,1
forClass,org.mockito.ArgumentCaptor,1
atLeastOnce,org.mockito.Mockito,1
tick,org.jmock.lib.concurrent.DeterministicScheduler,3
same,org.mockito.ArgumentMatchers,14
doNothing,org.powermock.api.mockito.PowerMockito,3

MockedObjects: ,382

# of Mocked objects each file:,10|1|5|2|4|2|1|1|5|13|3|7|2|5|7|1|6|1|2|1|3|1|6|1|1|4|1|1|5|4|4|1|1|1|2|8|8|1|13|1|2|1|1|1|1|4|1|3|9|4|4|5|12|6|3|2|2|1|1|1|1|1|2|1|6|4|2|3|19|4|2|4|3|9|12|5|1|1|2|1|2|11|4|4|1|2|1|1|1|1|4|1|1|3|3|2|2|3|2|4|3|1|2|2|4|3|2|4|1|1|2|1|5|5|
