method, origin, count
mock,org.mockito.Mockito,435
thenReturn,org.mockito.stubbing.OngoingStubbing<io.atlasmap.spi.AtlasPropertyStrategy>,462
when,org.mockito.Mockito,1079
spy,org.mockito.Mockito,28
any,org.mockito.ArgumentMatchers,270
lenient,org.mockito.Mockito,50
willReturn,org.mockito.BDDMockito.BDDMyOngoingStubbing<java.util.List<javax.validation.spi.ValidationProvider<?>>>,19
given,org.mockito.BDDMockito,1
verify,org.mockito.Mockito,347
atLeastOnce,org.mockito.Mockito,12
initMocks,org.mockito.MockitoAnnotations,6
reset,org.mockito.Mockito,5
options,com.github.tomakehurst.wiremock.core.WireMockConfiguration,3
start,com.github.tomakehurst.wiremock.WireMockServer,12
doReturn,org.mockito.Mockito,3
mockStatic,org.mockito.Mockito,2
times,org.mockito.Mockito,150
thenThrow,org.mockito.stubbing.OngoingStubbing<java.lang.Object>,3
anyString,org.mockito.ArgumentMatchers,20
eq,org.mockito.ArgumentMatchers,643
forClass,org.mockito.ArgumentCaptor,15
capture,org.mockito.ArgumentCaptor<com.google.cloud.bigquery.InsertAllRequest>,9
getAllValues,org.mockito.ArgumentCaptor<com.google.cloud.bigquery.InsertAllRequest>,6
getValue,org.mockito.ArgumentCaptor<com.google.cloud.bigquery.QueryJobConfiguration>,3
createChannelProvider,com.google.api.gax.grpc.testing.MockServiceHelper,2
stop,com.google.api.gax.grpc.testing.MockServiceHelper,11
verifyNoMoreInteractions,org.mockito.Mockito,26
openMocks,org.mockito.MockitoAnnotations,2
doNothing,org.mockito.stubbing.BaseStubber,2
doThrow,org.mockito.Mockito,2
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.lang.String>,2
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,25
same,org.mockito.ArgumentMatchers,3
init,io.fabric8.kubernetes.client.server.mock.KubernetesMockServer,2
createClient,io.fabric8.kubernetes.client.server.mock.KubernetesMockServer,3
destroy,io.fabric8.kubernetes.client.server.mock.KubernetesMockServer,3
expect,io.fabric8.mockwebserver.DefaultMockServer,10
always,io.fabric8.mockwebserver.dsl.Timesable,11
andReturn,io.fabric8.mockwebserver.dsl.Returnable,79
withPath,io.fabric8.mockwebserver.dsl.Pathable<io.fabric8.mockwebserver.dsl.ReturnOrWebsocketable<io.fabric8.mockwebserver.dsl.TimesOnceableOrHttpHeaderable<java.lang.Void>>>,83
createOpenShiftClient,io.fabric8.openshift.client.server.mock.OpenShiftMockServer,1
andReply,io.fabric8.mockwebserver.dsl.Replyable<io.fabric8.mockwebserver.dsl.TimesOnceableOrHttpHeaderable<java.lang.Void>>,4
get,io.fabric8.mockwebserver.dsl.HttpMethodable<io.fabric8.mockwebserver.dsl.DelayPathable<io.fabric8.mockwebserver.dsl.ReturnOrWebsocketable<io.fabric8.mockwebserver.dsl.TimesOnceableOrHttpHeaderable<java.lang.Void>>>>,162
once,io.fabric8.mockwebserver.dsl.Onceable<java.lang.Void>,67
post,io.fabric8.mockwebserver.dsl.HttpMethodable<io.fabric8.mockwebserver.dsl.DelayPathable<io.fabric8.mockwebserver.dsl.ReturnOrWebsocketable<io.fabric8.mockwebserver.dsl.TimesOnceableOrHttpHeaderable<java.lang.Void>>>>,3
clearAll,org.jvnet.mock_javamail.Mailbox,85
