method, origin, count
isValid,javax.accessibility.AccessibleHyperlinkTest.MockAccessibleHyperlink,2
setKey,javax.accessibility.AccessibleBundleTest.MockAccessibleBundle,4
toDisplayString,javax.accessibility.AccessibleBundleTest.MockAccessibleBundle,2
getKey,javax.accessibility.AccessibleBundleTest.MockAccessibleBundle,4
checking,org.jmock.Mockery,12
allowing,org.jmock.AbstractExpectations,20
will,org.jmock.AbstractExpectations,20
returnValue,org.jmock.AbstractExpectations,20
mock,org.jmock.Mockery,3
oneOf,org.jmock.AbstractExpectations,1
pubImplFlush,tests.api.java.nio.charset.CharsetDecoderTest.MockCharsetDecoder,2

MockedObjects: ,3

# of Mocked objects each file:,3|
