method, origin, count
mock,org.mockito.Mockito,710
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>,134
when,org.mockito.Mockito,716
then,org.mockito.stubbing.OngoingStubbing<java.lang.String>,2
any,org.mockito.ArgumentMatchers,237
getArgument,org.mockito.invocation.InvocationOnMock,15
doAnswer,org.mockito.Mockito,47
spy,org.mockito.Mockito,45
verify,org.mockito.Mockito,75
never,org.mockito.Mockito,4
thenThrow,org.mockito.stubbing.OngoingStubbing<java.io.OutputStream>,1
eq,org.mockito.ArgumentMatchers,99
argThat,org.mockito.ArgumentMatchers,2
doReturn,org.mockito.Mockito,95
forClass,org.mockito.ArgumentCaptor,1
doNothing,org.mockito.Mockito,1
times,org.mockito.Mockito,33
callRealMethod,org.mockito.invocation.InvocationOnMock,10
anyString,org.mockito.ArgumentMatchers,31
anyObject,org.mockito.ArgumentMatchers,8
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,6
anyInt,org.mockito.ArgumentMatchers,7
contains,org.mockito.ArgumentMatchers,1
doThrow,org.mockito.Mockito,7
anyLong,org.mockito.ArgumentMatchers,5
timeout,org.mockito.Mockito,2
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.lang.String>,4
anyList,org.mockito.ArgumentMatchers,8
anyMap,org.mockito.ArgumentMatchers,1
reset,org.mockito.Mockito,2
initMocks,org.mockito.MockitoAnnotations,4
rule,org.mockito.junit.MockitoJUnit,1
doCallRealMethod,org.mockito.Mockito,3
extraInterfaces,org.mockito.MockSettings,1
withSettings,org.mockito.Mockito,1
anyBoolean,org.mockito.ArgumentMatchers,1

MockedObjects: ,710

# of Mocked objects each file:,4|1|5|9|2|1|1|1|1|22|1|1|1|1|3|14|1|4|2|1|4|8|4|2|4|1|5|1|2|4|1|2|1|3|4|9|5|1|4|3|1|1|2|1|2|1|3|1|1|2|1|3|2|10|10|1|1|2|6|4|3|6|8|2|1|1|1|1|3|6|37|1|2|2|1|4|1|1|1|2|1|1|1|1|4|4|4|5|1|7|1|1|1|2|7|6|2|2|3|3|2|9|1|5|1|10|8|3|4|3|2|2|4|1|6|1|1|2|2|6|1|2|2|1|17|3|1|2|2|1|3|3|5|1|2|1|2|1|1|1|1|1|15|1|12|1|3|8|1|1|1|2|3|3|5|2|15|7|34|4|1|1|5|1|3|1|2|2|3|12|9|5|28|2|5|1|2|1|1|8|2|2|2|1|3|9|5|1|4|1|1|1|
