method, origin, count
mock,org.mockito.Mockito,129
when,org.mockito.Mockito,245
any,org.mockito.ArgumentMatchers,3
thenReturn,org.mockito.stubbing.OngoingStubbing<java.util.Set<java.lang.String>>,17
anyString,org.mockito.ArgumentMatchers,2
getArguments,org.mockito.invocation.InvocationOnMock,3
newSet,org.mockito.internal.util.collections.Sets,20
doThrow,org.mockito.Mockito,2
spy,org.mockito.Mockito,1
doReturn,org.mockito.Mockito,45
initMocks,org.mockito.MockitoAnnotations,2
verifyZeroInteractions,org.mockito.Mockito,2

MockedObjects: ,129

# of Mocked objects each file:,4|7|1|1|1|3|3|6|3|1|3|7|3|3|3|3|3|3|3|4|10|18|1|1|1|1|2|2|1|9|1|14|3|
