method, origin, count
mock,org.mockito.Mockito,561
when,org.mockito.Mockito,923
thenReturn,org.mockito.stubbing.OngoingStubbing<java.util.Properties>,221
any,org.mockito.ArgumentMatchers,116
spy,org.mockito.Mockito,69
forClass,org.mockito.ArgumentCaptor,34
doNothing,org.mockito.Mockito,6
capture,org.mockito.ArgumentCaptor<java.lang.String>,6
getValue,org.mockito.ArgumentCaptor<java.lang.String>,4
mockStatic,org.powermock.api.mockito.PowerMockito,27
eq,org.mockito.ArgumentMatchers,95
same,org.mockito.ArgumentMatchers,9
verify,org.mockito.Mockito,190
times,org.mockito.Mockito,25
doReturn,org.mockito.Mockito,24
anyObject,org.mockito.ArgumentMatchers,5
doAnswer,org.mockito.Mockito,18
callRealMethod,org.mockito.invocation.InvocationOnMock,3
doCallRealMethod,org.mockito.stubbing.BaseStubber,2
anyList,org.mockito.ArgumentMatchers,3
anyString,org.mockito.ArgumentMatchers,99
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.lang.Object>,5
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.String>,1
initMocks,org.mockito.MockitoAnnotations,9
anyBoolean,org.mockito.ArgumentMatchers,3
argThat,org.mockito.ArgumentMatchers,18
withSettings,org.mockito.Mockito,2
inOrder,org.mockito.Mockito,2
anyListOf,org.mockito.ArgumentMatchers,5
reset,org.mockito.Mockito,8
rule,org.mockito.junit.MockitoJUnit,1
thenThrow,org.mockito.stubbing.OngoingStubbing<java.lang.String>,9
doThrow,org.mockito.Mockito,22
getArgument,org.mockito.invocation.InvocationOnMock,7
validateMockitoUsage,org.mockito.Mockito,1
verboseLogging,org.mockito.MockSettings,1
anyLong,org.mockito.ArgumentMatchers,2
nullable,org.mockito.ArgumentMatchers,2
setField,org.mockito.internal.util.reflection.FieldSetter,2
given,org.mockito.BDDMockito,11
instanceFields,org.mockito.internal.util.reflection.Fields.InstanceFields,2
filter,org.mockito.internal.util.reflection.Fields.InstanceFields,2
allDeclaredFieldsOf,org.mockito.internal.util.reflection.Fields,2
jdkField,org.mockito.internal.util.reflection.InstanceField,2
size,java.util.List<org.mockito.internal.util.reflection.InstanceField>,2
get,java.util.List<org.mockito.internal.util.reflection.InstanceField>,2
set,org.mockito.internal.util.reflection.InstanceField,2
willReturn,org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.Boolean>,2
getArguments,org.mockito.invocation.InvocationOnMock,1
atLeastOnce,org.mockito.Mockito,4
never,org.mockito.Mockito,3
contains,org.mockito.ArgumentMatchers,3

MockedObjects: ,561

# of Mocked objects each file:,23|2|2|43|15|10|8|3|4|4|2|4|2|1|2|7|4|1|1|17|29|1|1|6|4|1|3|3|7|1|12|1|4|18|1|3|2|2|15|2|2|5|1|6|1|1|1|3|10|4|10|1|1|1|2|23|12|4|1|1|2|3|2|1|1|1|3|3|3|3|1|4|1|1|1|3|1|6|13|4|1|7|3|1|1|3|2|6|1|6|2|7|1|2|2|1|3|2|4|2|23|2|3|1|5|4|3|1|2|1|1|2|5|25|3|1|3|1|
