method, origin, count
reset,org.mockito.Mockito,6
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,48
when,org.mockito.Mockito,204
mock,org.mockito.Mockito,32
verify,org.mockito.Mockito,10
doThrow,org.mockito.Mockito,1
doNothing,org.mockito.Mockito,4
anyInt,org.mockito.ArgumentMatchers,6
times,org.mockito.Mockito,8
anyList,org.mockito.ArgumentMatchers,1
eq,org.mockito.ArgumentMatchers,6
any,org.mockito.ArgumentMatchers,12
anyString,org.mockito.ArgumentMatchers,2
spy,org.mockito.Mockito,1
doReturn,org.mockito.Mockito,1
initMocks,org.mockito.MockitoAnnotations,3

MockedObjects: ,32

# of Mocked objects each file:,1|1|2|2|5|1|1|1|3|2|4|2|1|1|2|1|1|1|
