method, origin, count
mock,org.mockito.Mockito,11
verifyZeroInteractions,org.mockito.Mockito,4
verify,org.mockito.Mockito,4
any,org.mockito.ArgumentMatchers,10
initMocks,org.mockito.MockitoAnnotations,7
thenReturn,org.mockito.stubbing.OngoingStubbing<java.sql.DatabaseMetaData>,21
when,org.mockito.Mockito,66
setInternalState,org.powermock.reflect.Whitebox,2
mockStatic,org.powermock.api.mockito.PowerMockito,3
doReturn,org.powermock.api.mockito.PowerMockito,2

MockedObjects: ,11

# of Mocked objects each file:,1|1|1|2|1|5|
