method, origin, count
mock,org.mockito.Mockito,262
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Long>,75
when,org.mockito.Mockito,158
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.Object>,4
any,org.mockito.ArgumentMatchers,48
getArguments,org.mockito.invocation.InvocationOnMock,17
forClass,org.mockito.ArgumentCaptor,7
verify,org.mockito.Mockito,12
doAnswer,org.mockito.Mockito,12
addColumn,com.mockrunner.mock.jdbc.MockResultSet,7
addRow,com.mockrunner.mock.jdbc.MockResultSet,5
next,com.mockrunner.mock.jdbc.MockResultSet,5
getParameter,com.mockrunner.mock.jdbc.MockPreparedStatement,10
anyList,org.mockito.ArgumentMatchers,1
verifyNoMoreInteractions,org.mockito.Mockito,1
verifyZeroInteractions,org.mockito.Mockito,5
setServletName,com.mockrunner.mock.web.MockServletConfig,5
setServletContext,com.mockrunner.mock.web.MockServletConfig,5
setSession,com.mockrunner.mock.web.MockHttpServletRequest,1
getSession,com.mockrunner.mock.web.MockHttpServletRequest,1
getPreparedStatementResultSetHandler,com.mockrunner.mock.jdbc.MockConnection,2
setExactMatch,com.mockrunner.jdbc.AbstractResultSetHandler,2
setCaseSensitive,com.mockrunner.jdbc.AbstractResultSetHandler,2
prepareUpdateCount,com.mockrunner.jdbc.AbstractParameterResultSetHandler,2
getNumberCommits,com.mockrunner.mock.jdbc.MockConnection,2
getNumberRollbacks,com.mockrunner.mock.jdbc.MockConnection,2
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.sql.Connection>,2
setInitParameter,com.mockrunner.mock.web.MockFilterConfig,9
setFilterName,com.mockrunner.mock.web.MockFilterConfig,13
setupServletContext,com.mockrunner.mock.web.MockFilterConfig,7

MockedObjects: ,262

# of Mocked objects each file:,2|2|11|3|2|1|1|1|1|3|1|1|1|1|4|29|1|2|5|2|5|3|2|1|1|1|1|2|3|1|1|1|2|3|2|2|1|4|12|4|3|2|1|1|2|2|2|2|2|1|1|1|1|1|1|3|1|1|1|2|1|1|2|4|2|1|6|2|1|5|1|2|3|1|2|4|6|6|2|3|9|2|2|6|4|2|5|1|1|2|10|2|2|2|
