method, origin, count
mock,org.mockito.Mockito,62
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,80
when,org.mockito.Mockito,236
verify,org.mockito.Mockito,23
never,org.mockito.Mockito,1
any,org.mockito.ArgumentMatchers,11
whenNew,org.powermock.api.mockito.PowerMockito,3
doAnswer,org.powermock.api.mockito.PowerMockito,3
getArguments,org.mockito.invocation.InvocationOnMock,3
mockStatic,org.powermock.api.mockito.PowerMockito,1
doReturn,org.mockito.Mockito,86
spy,org.mockito.Mockito,14
times,org.mockito.Mockito,4
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,1
given,org.mockito.BDDMockito.BDDStubber,9
willAnswer,org.mockito.BDDMockito,6
anyString,org.mockito.ArgumentMatchers,6
eq,org.mockito.ArgumentMatchers,13
isNull,org.mockito.ArgumentMatchers,2
thenThrow,org.mockito.stubbing.OngoingStubbing<java.lang.String>,1
willReturn,org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.Integer>,1
verifyZeroInteractions,org.mockito.Mockito,3
anyInt,org.mockito.ArgumentMatchers,1
anyMap,org.mockito.ArgumentMatchers,1

MockedObjects: ,62

# of Mocked objects each file:,6|3|2|1|1|1|1|4|2|2|6|4|2|2|1|7|2|10|3|1|1|
