method, origin, count
mock,org.mockito.Mockito,177
initMocks,org.mockito.MockitoAnnotations,7
when,org.mockito.stubbing.Stubber,214
doNothing,org.mockito.Mockito,1
anyCollectionOf,org.mockito.Matchers,4
any,org.mockito.Matchers,7
anyLong,org.mockito.Matchers,8
spy,org.mockito.Mockito,2
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,33
doReturn,org.mockito.Mockito,12
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.lang.Long>,10
anyInt,org.mockito.Matchers,1
doThrow,org.mockito.Mockito,2

MockedObjects: ,177

# of Mocked objects each file:,6|3|11|1|50|13|2|5|1|8|1|15|8|8|2|2|4|1|3|2|4|7|3|11|2|2|2|
