method, origin, count
createMock,org.easymock.EasyMock,198
createNiceMock,org.easymock.EasyMock,32
addMockedMethods,org.easymock.IMockBuilder<T>,1
createMockBuilder,org.easymock.EasyMock,2
replay,org.easymock.EasyMock,105
getInternalState,org.powermock.reflect.Whitebox,4
once,org.easymock.IExpectationSetters<java.lang.String>,7
andReturn,org.easymock.IExpectationSetters<java.lang.String>,178
expect,org.easymock.EasyMock,736
isA,org.easymock.EasyMock,70
eq,org.easymock.EasyMock,188
createNiceControl,org.easymock.EasyMock,4
anyTimes,org.easymock.IExpectationSetters<java.util.List<java.lang.String>>,89
verify,org.easymock.EasyMock,57
createControl,org.easymock.EasyMock,18
createStrictControl,org.easymock.EasyMock,2
same,org.easymock.EasyMock,9
and,org.easymock.EasyMock,5
capture,org.easymock.EasyMock,8
andStubReturn,org.easymock.IExpectationSetters<java.lang.String>,1
makeThreadSafe,org.easymock.EasyMock,1
isNull,org.easymock.EasyMock,1
times,org.easymock.IExpectationSetters<java.lang.Object>,2
expectLastCall,org.easymock.EasyMock,2

MockedObjects: ,230

# of Mocked objects each file:,1|1|1|1|1|4|6|5|6|1|1|1|1|2|1|7|7|5|5|7|2|3|2|4|2|2|5|4|2|4|4|10|9|4|2|3|9|1|4|1|11|1|4|4|4|5|2|1|3|9|4|2|2|4|5|4|1|1|1|1|2|7|2|1|2|1|2|3|
