method, origin, count
mock,org.mockito.Mockito,67
when,org.mockito.stubbing.Stubber,51
doAnswer,org.mockito.Mockito,3
getArguments,org.mockito.invocation.InvocationOnMock,9
any,org.mockito.ArgumentMatchers,34
openMocks,org.mockito.MockitoAnnotations,3
spy,org.mockito.Mockito,8
verify,org.mockito.Mockito,80
eq,org.mockito.ArgumentMatchers,41
thenAnswer,org.mockito.stubbing.OngoingStubbing<io.netty.channel.ChannelFuture>,6
times,org.mockito.Mockito,12
thenThrow,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,1
anyInt,org.mockito.ArgumentMatchers,2
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,16
anyString,org.mockito.ArgumentMatchers,2

MockedObjects: ,67

# of Mocked objects each file:,1|2|5|3|10|1|1|1|3|10|4|2|2|14|8|
