method, origin, count
mock,org.mockito.Mockito,352
when,org.mockito.Mockito,180
any,org.mockito.ArgumentMatchers,42
verify,org.mockito.Mockito,105
anyObject,org.mockito.ArgumentMatchers,17
spy,org.mockito.Mockito,14
never,org.mockito.Mockito,5
doNothing,org.mockito.Mockito,11
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,73
then,org.mockito.stubbing.OngoingStubbing<java.util.Deque<java.lang.Long>>,3
eq,org.mockito.ArgumentMatchers,28
forClass,org.mockito.ArgumentCaptor,19
initMocks,org.mockito.MockitoAnnotations,1
times,org.mockito.Mockito,20
rule,org.mockito.junit.MockitoJUnit,2
isMock,org.mockito.MockingDetails,2
mockingDetails,org.mockito.Mockito,2
anyString,org.mockito.ArgumentMatchers,33
anyList,org.mockito.ArgumentMatchers,20
reset,org.mockito.Mockito,11
capture,org.mockito.ArgumentCaptor<java.util.List<java.lang.Object>>,8
getAllValues,org.mockito.ArgumentCaptor<java.util.List<java.lang.Object>>,9
doAnswer,org.mockito.Mockito,2
getArgument,org.mockito.invocation.InvocationOnMock,2
blitz,org.jmock.lib.concurrent.Blitzer,1
shutdown,org.jmock.lib.concurrent.Blitzer,1
accept,java.util.function.Consumer<org.mockito.ArgumentCaptor<T>>,1
newSet,org.mockito.internal.util.collections.Sets,2
anyMap,org.mockito.ArgumentMatchers,2
doReturn,org.mockito.Mockito,12

MockedObjects: ,352

# of Mocked objects each file:,4|1|7|1|13|4|2|2|2|2|5|9|1|3|2|4|9|8|6|8|4|3|7|7|1|2|2|3|1|1|7|19|3|2|5|9|2|5|5|1|1|2|1|1|6|3|2|2|2|1|3|3|21|5|59|1|4|10|2|4|5|2|7|4|3|1|11|1|1|1|1|
