method, origin, count
setAsyncSupported,org.springframework.mock.web.MockHttpServletRequest,2
getAsyncContext,org.springframework.mock.web.MockHttpServletRequest,2
addDispatchHandler,org.springframework.mock.web.MockAsyncContext,2
complete,org.springframework.mock.web.MockAsyncContext,2
activate,org.springframework.mock.jndi.SimpleNamingContextBuilder,1
bind,org.springframework.mock.jndi.SimpleNamingContextBuilder,1
createStrictMock,org.easymock.EasyMock,40
andReturn,org.easymock.IExpectationSetters<java.util.Set>,207
expect,org.easymock.EasyMock,340
replay,org.easymock.EasyMock,60
checkOrder,org.easymock.EasyMock,1
selfRegister,com.opensymphony.xwork2.config.impl.MockConfiguration,3
getKeyClass,com.opensymphony.xwork2.mock.MockObjectTypeDeterminer,1
getElementClass,com.opensymphony.xwork2.mock.MockObjectTypeDeterminer,1
getKeyProperty,com.opensymphony.xwork2.mock.MockObjectTypeDeterminer,1
isShouldCreateIfNew,com.opensymphony.xwork2.mock.MockObjectTypeDeterminer,1
addUnknownHandler,com.opensymphony.xwork2.UnknownHandlerManagerMock,3
getTextProvider,com.opensymphony.xwork2.mock.InjectableAction,2
setFoo,com.opensymphony.xwork2.mock.MockInterceptor,4
setExpectedFoo,com.opensymphony.xwork2.mock.MockInterceptor,4
matchAndReturn,com.mockobjects.dynamic.Mock,51
getName,java.lang.Class<com.opensymphony.xwork2.mock.MockResult>,27
getExpectedFoo,com.opensymphony.xwork2.mock.MockInterceptor,4
isExecuted,com.opensymphony.xwork2.mock.MockInterceptor,4
expectAndReturn,com.mockobjects.dynamic.Mock,199
isA,com.mockobjects.dynamic.C,6
addToNodeList,com.opensymphony.xwork2.config.providers.XmlConfigurationProviderTest.MockNodeList,15
createMock,org.easymock.EasyMock,100
andStubReturn,org.easymock.IExpectationSetters<java.lang.String>,53
getParam1,com.opensymphony.xwork2.config.providers.InterceptorBuilderTest.MockInterceptor1,8
getParam2,com.opensymphony.xwork2.config.providers.InterceptorBuilderTest.MockInterceptor1,8
thenReturn,org.mockito.stubbing.OngoingStubbing<java.util.Set<java.lang.String>>,7
when,org.mockito.Mockito,9
setConfig,com.opensymphony.xwork2.mock.MockActionProxy,18
setProxy,com.opensymphony.xwork2.mock.MockActionInvocation,26
setAction,com.opensymphony.xwork2.mock.MockActionInvocation,68
proxy,com.mockobjects.dynamic.Mock,57
verify,com.mockobjects.dynamic.Mock,125
createNiceMock,org.easymock.EasyMock,44
args,com.mockobjects.dynamic.C,48
eq,com.mockobjects.dynamic.C,80
expectAndThrow,com.mockobjects.dynamic.Mock,12
setMethod,com.opensymphony.xwork2.mock.MockActionProxy,47
setInvocationContext,com.opensymphony.xwork2.mock.MockActionInvocation,19
setShouldCreateIfNew,com.opensymphony.xwork2.mock.MockObjectTypeDeterminer,1
setStack,com.opensymphony.xwork2.mock.MockActionInvocation,2
setContent,org.springframework.mock.web.MockHttpServletRequest,4
setContentType,org.springframework.mock.web.MockHttpServletRequest,10
setupGetServletPath,com.mockobjects.servlet.MockHttpServletRequest,73
getStatus,org.springframework.mock.web.MockHttpServletResponse,41
addHeader,org.springframework.mock.web.MockHttpServletRequest,30
setCharacterEncoding,org.springframework.mock.web.MockHttpServletRequest,1
getCharacterEncoding,org.springframework.mock.web.MockHttpServletRequest,2
setRequestURI,org.springframework.mock.web.MockHttpServletRequest,43
getContentAsString,org.springframework.mock.web.MockHttpServletResponse,59
getContentLength,org.springframework.mock.web.MockHttpServletResponse,14
andStubThrow,org.easymock.IExpectationSetters<java.lang.Object>,2
expectLastCall,org.easymock.EasyMock,90
setupGetParameterMap,com.mockobjects.servlet.MockHttpServletRequest,8
setupGetContextPath,com.mockobjects.servlet.MockHttpServletRequest,2
setupGetRequestURI,com.mockobjects.servlet.MockHttpServletRequest,23
setupGetAttribute,com.mockobjects.servlet.MockHttpServletRequest,24
addExpectedGetAttributeName,com.mockobjects.servlet.MockHttpServletRequest,24
setupGetMethod,com.mockobjects.servlet.MockHttpServletRequest,10
mock,org.mockito.Mockito,59
setContextPath,org.springframework.mock.web.MockHttpServletRequest,7
getHeader,org.springframework.mock.web.MockHttpServletResponse,21
setSession,com.mockobjects.servlet.MockHttpServletRequest,10
getInvocationContext,com.opensymphony.xwork2.mock.MockActionInvocation,35
setCookies,org.springframework.mock.web.MockHttpServletRequest,10
setResultCode,com.opensymphony.xwork2.mock.MockActionInvocation,6
removeHeader,org.springframework.mock.web.MockHttpServletRequest,5
createNiceControl,org.easymock.EasyMock,1
with,org.jmock.builder.ArgumentsMatchBuilder,16
method,org.jmock.builder.NameMatchBuilder,47
expects,org.jmock.Mock,3
getSession,org.springframework.mock.web.MockHttpServletRequest,2
setExpectedError,com.mockobjects.servlet.MockHttpServletResponse,1
createControl,org.easymock.EasyMock,20
anyTimes,org.easymock.IExpectationSetters<java.lang.Object>,7
getContentType,org.springframework.mock.web.MockHttpServletResponse,13
setExpectedContentType,com.mockobjects.servlet.MockHttpServletResponse,3
setExpectedHeader,com.mockobjects.servlet.MockHttpServletResponse,3
setRequest,com.mockobjects.servlet.MockPageContext,31
setServletContext,com.mockobjects.servlet.MockPageContext,5
setJspWriter,com.mockobjects.servlet.MockPageContext,37
getServletContext,com.mockobjects.servlet.MockPageContext,5
setExpectedData,com.mockobjects.servlet.MockJspWriter,22
getRequest,com.mockobjects.servlet.MockPageContext,1
setupGetEnclosingWriter,com.mockobjects.servlet.MockBodyContent,1
anyObject,org.easymock.EasyMock,20
andAnswer,org.easymock.IExpectationSetters<java.lang.Object>,1
setParameter,org.springframework.mock.web.MockHttpServletRequest,8
setAttribute,org.springframework.mock.web.MockServletContext,2
setInitParameter,org.springframework.mock.web.MockServletContext,7
will,org.jmock.builder.StubBuilder,33
stubs,org.jmock.Mock,32
returnValue,org.jmock.MockObjectTestCase,11
setServletPath,org.springframework.mock.web.MockHttpServletRequest,23

MockedObjects: ,203

# of Mocked objects each file:,19|3|3|1|10|3|2|2|2|2|2|2|1|7|2|13|15|13|4|5|8|4|1|1|4|1|1|5|12|3|12|6|6|15|2|9|2|
