method, origin, count
mock,org.mockito.Mockito,153
thenReturn,org.mockito.stubbing.OngoingStubbing<java.io.InputStream>,36
when,org.mockito.Mockito,135
anyString,org.mockito.ArgumentMatchers,1
spy,org.mockito.Mockito,2
verify,org.mockito.Mockito,5
times,org.mockito.Mockito,1
doAnswer,org.mockito.Mockito,3
forClass,org.mockito.ArgumentCaptor,3
any,org.mockito.ArgumentMatchers,13
doReturn,org.mockito.Mockito,9
defaultAnswer,org.mockito.MockSettings,2
withSettings,org.mockito.Mockito,2
verifyZeroInteractions,org.mockito.Mockito,1
then,org.mockito.stubbing.OngoingStubbing<java.lang.String>,4
getArgument,org.mockito.invocation.InvocationOnMock,2
start,no.nav.security.mock.oauth2.MockOAuth2Server,1
issueToken,no.nav.security.mock.oauth2.MockOAuth2Server,1
shutdown,no.nav.security.mock.oauth2.MockOAuth2Server,1
wellKnownUrl,no.nav.security.mock.oauth2.MockOAuth2Server,1
getMockWebServer,no.nav.security.mock.oauth2.http.MockWebServerWrapper,1
useHttps,okhttp3.mockwebserver.MockWebServer,1
rule,org.mockito.junit.MockitoJUnit,2
anyInt,org.mockito.ArgumentMatchers,1
getArguments,org.mockito.invocation.InvocationOnMock,2
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.util.Enumeration<java.lang.String>>,1
removeIf,java.util.Collection<io.opentracing.mock.MockSpan>,2
tags,io.opentracing.mock.MockSpan,4
size,java.util.List<io.opentracing.mock.MockSpan>,2
operationName,io.opentracing.mock.MockSpan,7
get,java.util.List<io.opentracing.mock.MockSpan>,15
build,com.adobe.testing.s3mock.testsupport.common.S3MockStarter.BaseBuilder<com.adobe.testing.s3mock.junit4.S3MockRule>,4
withInitialBuckets,com.adobe.testing.s3mock.testsupport.common.S3MockStarter.BaseBuilder<com.adobe.testing.s3mock.junit4.S3MockRule>,4
silent,com.adobe.testing.s3mock.testsupport.common.S3MockStarter.BaseBuilder<com.adobe.testing.s3mock.junit4.S3MockRule>,4
builder,com.adobe.testing.s3mock.junit4.S3MockRule,4
getHttpPort,com.adobe.testing.s3mock.testsupport.common.S3MockStarter,3
createS3ClientV2,com.adobe.testing.s3mock.testsupport.common.S3MockStarter,3

MockedObjects: ,153

# of Mocked objects each file:,1|4|24|3|1|2|2|2|5|2|3|1|1|1|1|1|2|14|4|1|26|2|1|1|4|11|3|17|1|1|1|2|7|1|
