method, origin, count
mock,org.mockito.Mockito,100
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String[]>,47
when,org.mockito.Mockito,143
anyString,org.mockito.Matchers,2
spy,org.mockito.Mockito,5
defaultAnswer,org.mockito.MockSettings,1
withSettings,org.mockito.Mockito,1
get,org.mockito.Answers,1
doReturn,org.mockito.Mockito,4
verify,org.mockito.Mockito,5
verifyNoMoreInteractions,org.mockito.Mockito,1
times,org.mockito.Mockito,1
forClass,org.mockito.ArgumentCaptor,1
atMost,org.mockito.Mockito,1

MockedObjects: ,100

# of Mocked objects each file:,4|11|2|1|5|12|1|1|3|6|3|6|7|7|4|2|1|2|1|7|2|1|7|1|1|2|
