method, origin, count
mock,org.mockito.Mockito,46
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,27
when,org.mockito.Mockito,95
lenient,org.mockito.Mockito,20
any,org.mockito.ArgumentMatchers,6
getArgument,org.mockito.invocation.InvocationOnMock,7
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.reflect.Field>,1
verify,org.mockito.Mockito,59
openMocks,org.mockito.MockitoAnnotations,2
anyInt,org.mockito.ArgumentMatchers,6
times,org.mockito.Mockito,5
eq,org.mockito.ArgumentMatchers,1
anyString,org.mockito.ArgumentMatchers,7
stubFor,com.github.tomakehurst.wiremock.client.WireMock,21
willReturn,com.github.tomakehurst.wiremock.client.MappingBuilder,21
get,com.github.tomakehurst.wiremock.client.WireMock,20
urlEqualTo,com.github.tomakehurst.wiremock.client.WireMock,23
aResponse,com.github.tomakehurst.wiremock.client.WireMock,21
withHeader,com.github.tomakehurst.wiremock.matching.RequestPatternBuilder,1
getRequestedFor,com.github.tomakehurst.wiremock.client.WireMock,1
doNothing,org.mockito.Mockito,1

MockedObjects: ,46

# of Mocked objects each file:,3|7|7|8|3|3|3|3|3|3|3|
