method, origin, count
mock,org.mockito.Mockito,1017
when,org.mockito.Mockito,844
verify,org.mockito.Mockito,310
times,org.mockito.Mockito,84
eq,org.mockito.Matchers,37
any,org.mockito.Matchers,73
spy,org.mockito.Mockito,59
doReturn,org.mockito.Mockito,312
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>,118
initMocks,org.mockito.MockitoAnnotations,6
forClass,org.mockito.ArgumentCaptor,10
anyInt,org.mockito.Matchers,18
reset,org.mockito.Mockito,18
doAnswer,org.mockito.Mockito,1
getArguments,org.mockito.invocation.InvocationOnMock,1
newSet,org.mockito.internal.util.collections.Sets,1
doNothing,org.mockito.Mockito,1
anyListOf,org.mockito.Matchers,3
atLeast,org.mockito.Mockito,1
capture,org.mockito.ArgumentCaptor<java.util.List>,1
getValue,org.mockito.ArgumentCaptor<java.util.List>,1

MockedObjects: ,1017

# of Mocked objects each file:,5|3|2|5|5|6|3|2|17|16|31|2|10|24|12|1|2|137|13|18|10|14|19|14|29|29|1|8|29|20|1|89|73|4|4|5|52|17|2|2|24|5|4|1|5|1|4|1|1|3|7|6|3|10|8|1|4|2|2|2|1|1|1|1|1|1|4|5|26|5|18|2|5|9|35|36|1|1|1|1|3|1|5|4|4|4|2|1|8|
