method, origin, count
getStatus,org.springframework.mock.web.MockHttpServletResponse,457
getContentType,org.springframework.mock.web.MockHttpServletResponse,46
setCharacterEncoding,org.springframework.mock.web.MockHttpServletResponse,2
getContentAsString,org.springframework.mock.web.MockHttpServletResponse,322
setMethod,org.springframework.mock.web.MockHttpServletRequest,14
setRequestURI,org.springframework.mock.web.MockHttpServletRequest,8
addHeader,org.springframework.mock.web.MockHttpServletRequest,67
getHeader,org.springframework.mock.web.MockHttpServletResponse,89
getContentAsByteArray,org.springframework.mock.web.MockHttpServletResponse,15
mock,org.jmock.Mockery,111
checking,org.jmock.Mockery,28
allowing,org.jmock.Expectations,4
will,org.jmock.Expectations,80
returnValue,org.jmock.Expectations,80
setImposteriser,org.jmock.Mockery,8
oneOf,org.jmock.Expectations,74
assertIsSatisfied,org.jmock.Mockery,11
addInitParameter,org.springframework.mock.web.MockServletConfig,7
getCharacterEncoding,org.springframework.mock.web.MockHttpServletRequest,3
setContentType,org.springframework.mock.web.MockHttpServletRequest,32
setContent,org.springframework.mock.web.MockHttpServletRequest,31
setAttribute,org.springframework.mock.web.MockHttpServletRequest,2
setParameters,org.springframework.mock.web.MockHttpServletRequest,1
setQueryString,org.springframework.mock.web.MockHttpServletRequest,18
getParameter,org.springframework.mock.web.MockHttpServletRequest,4
setParameter,org.springframework.mock.web.MockHttpServletRequest,2
setScheme,org.springframework.mock.web.MockHttpServletRequest,4
setServerName,org.springframework.mock.web.MockHttpServletRequest,4
setContextPath,org.springframework.mock.web.MockHttpServletRequest,4
setServerPort,org.springframework.mock.web.MockHttpServletRequest,8
setSecure,org.springframework.mock.web.MockHttpServletRequest,9
getParameterMap,org.springframework.mock.web.MockHttpServletRequest,2
getRequest,org.springframework.mock.web.MockFilterChain,5
setServletPath,org.springframework.mock.web.MockHttpServletRequest,2

MockedObjects: ,111

# of Mocked objects each file:,1|1|3|2|3|3|7|1|1|6|2|2|8|6|2|4|4|4|4|6|6|6|4|4|19|1|1|
