method, origin, count
mock,org.mockito.Mockito,354
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,138
when,org.mockito.Mockito,243
spy,org.mockito.Mockito,18
doReturn,org.mockito.Mockito,3
eq,org.mockito.ArgumentMatchers,6
proceed,mockit.Invocation,6
verify,org.mockito.Mockito,12
never,org.mockito.Mockito,6
doAnswer,org.mockito.Mockito,21
getArguments,org.mockito.invocation.InvocationOnMock,15
any,org.mockito.ArgumentMatchers,30
anyString,org.mockito.ArgumentMatchers,15

MockedObjects: ,354

# of Mocked objects each file:,1|2|2|2|2|6|1|3|4|1|11|2|2|1|8|6|1|2|10|2|1|2|7|4|1|4|5|6|5|4|3|2|5|1|2|2|2|2|6|1|3|4|1|11|2|2|1|8|6|1|2|10|2|1|2|7|4|1|4|5|6|5|4|3|2|5|1|2|2|2|2|6|1|3|4|1|11|2|2|1|8|6|1|2|10|2|1|2|7|4|1|4|5|6|5|4|3|2|5|
