method, origin, count
mock,org.mockito.Mockito,156
verify,org.mockito.Mockito,60
when,org.mockito.Mockito,186
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Long>,24
spy,org.mockito.Mockito,6
forClass,org.mockito.ArgumentCaptor,15
doReturn,org.mockito.Mockito,15
verifyNoMoreInteractions,org.mockito.Mockito,9
any,org.mockito.ArgumentMatchers,3
getArguments,org.mockito.invocation.InvocationOnMock,12

MockedObjects: ,156

# of Mocked objects each file:,4|3|4|1|1|5|21|5|1|2|4|1|4|3|4|1|1|5|21|5|1|2|4|1|4|3|4|1|1|5|21|5|1|2|4|1|
