method, origin, count
createMock,org.easymock.EasyMock,965
replay,org.easymock.EasyMock,243
verify,org.easymock.EasyMock,181
createNiceControl,org.easymock.EasyMock,119
reset,org.easymock.EasyMock,40
expectLastCall,org.easymock.EasyMock,130
times,org.easymock.IExpectationSetters<java.lang.Object>,4
checkOrder,org.easymock.EasyMock,1
eq,org.easymock.EasyMock,9
isA,org.easymock.EasyMock,23
andReturn,org.easymock.IExpectationSetters<java.lang.Object>,223
createNiceMock,org.easymock.EasyMock,5
reportMatcher,org.easymock.EasyMock,5
mock,org.easymock.EasyMock,35
expect,org.easymock.EasyMock,838
andStubReturn,org.easymock.IExpectationSetters<java.lang.Integer>,1
andAnswer,org.easymock.IExpectationSetters<java.lang.Integer>,1
anyObject,org.easymock.EasyMock,8
anyInt,org.easymock.EasyMock,2
createControl,org.easymock.EasyMock,3
anyTimes,org.easymock.IExpectationSetters<java.lang.Object>,68
any,org.mockito.ArgumentMatchers,8
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Class<>>,9
when,org.mockito.Mockito,121
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>,1
makeThreadSafe,org.easymock.IMocksControl,6
addMockedMethod,org.easymock.IMockBuilder<java.lang.Object>,4
createMockBuilder,org.easymock.EasyMock,7
openMocks,org.mockito.MockitoAnnotations,12
doReturn,org.mockito.Mockito,103
replayAll,org.easymock.EasyMockSupport,6
extensions,com.github.tomakehurst.wiremock.core.WireMockConfiguration,1
wireMockConfig,com.github.tomakehurst.wiremock.core.WireMockConfiguration,2
build,com.github.tomakehurst.wiremock.http.Response.Builder,1
body,com.github.tomakehurst.wiremock.http.Response.Builder,1
but,com.github.tomakehurst.wiremock.http.Response.Builder,1
like,com.github.tomakehurst.wiremock.http.Response.Builder,1
baseUrl,com.github.tomakehurst.wiremock.WireMockServer,2
stubFor,com.github.tomakehurst.wiremock.WireMockServer,18
willReturn,com.github.tomakehurst.wiremock.client.MappingBuilder,18
get,com.github.tomakehurst.wiremock.client.WireMock,10
withTransformers,com.github.tomakehurst.wiremock.client.ResponseDefinitionBuilder,1
ok,com.github.tomakehurst.wiremock.client.WireMock,1
addMockedMethods,org.easymock.IMockBuilder<java.lang.Object>,3
once,org.easymock.IExpectationSetters<java.lang.Object>,6
dynamicPort,com.github.tomakehurst.wiremock.core.WireMockConfiguration,5
options,com.github.tomakehurst.wiremock.core.WireMockConfiguration,4
urlEqualTo,com.github.tomakehurst.wiremock.client.WireMock,16
withStatus,com.github.tomakehurst.wiremock.client.ResponseDefinitionBuilder,2
aResponse,com.github.tomakehurst.wiremock.client.WireMock,16
put,com.github.tomakehurst.wiremock.client.WireMock,4
withBody,com.github.tomakehurst.wiremock.client.ResponseDefinitionBuilder,8

MockedObjects: ,1005

# of Mocked objects each file:,9|3|5|2|12|1|1|2|1|1|5|1|1|8|1|1|2|3|3|4|1|3|1|1|1|7|1|2|3|3|2|2|1|5|1|8|7|65|1|1|1|22|1|5|1|11|1|1|4|3|1|3|3|4|2|1|2|3|2|1|5|11|1|1|1|1|1|1|1|1|1|11|3|1|5|4|4|8|11|3|5|2|2|1|1|1|5|9|2|7|3|2|4|1|2|2|3|1|2|3|5|4|1|3|6|2|9|9|2|2|9|3|3|1|3|1|1|1|4|1|3|1|6|57|3|12|17|12|1|37|35|7|14|16|4|8|1|4|2|41|33|4|7|7|6|23|3|16|18|4|64|20|1|11|1|2|8|1|2|3|12|2|4|4|1|1|3|3|3|
