method, origin, count
getInternalState,org.powermock.reflect.Whitebox,3
mock,org.mockito.Mockito,850
spy,org.mockito.Mockito,69
verify,org.mockito.Mockito,334
never,org.mockito.Mockito,4
anyLong,org.mockito.ArgumentMatchers,58
any,org.mockito.ArgumentMatchers,135
validateMockitoUsage,org.mockito.Mockito,1
times,org.mockito.Mockito,90
eq,org.mockito.ArgumentMatchers,67
isNull,org.mockito.ArgumentMatchers,1
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,117
when,org.mockito.Mockito,335
doAnswer,org.mockito.Mockito,8
forClass,org.mockito.ArgumentCaptor,1
capture,org.mockito.ArgumentCaptor<java.util.List<java.lang.String>>,1
getValue,org.mockito.ArgumentCaptor<java.util.List<java.lang.String>>,1
getArgument,org.mockito.invocation.InvocationOnMock,1
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.util.List<java.lang.String>>,9
anyInt,org.mockito.ArgumentMatchers,6
geq,org.mockito.AdditionalMatchers,1
initMocks,org.mockito.MockitoAnnotations,7
getField,org.powermock.reflect.Whitebox,3
getMethod,org.powermock.reflect.Whitebox,2
whenNew,org.powermock.api.mockito.PowerMockito,1
getArguments,org.mockito.invocation.InvocationOnMock,7
isSpy,org.mockito.internal.util.MockUtil,1
isMock,org.mockito.internal.util.MockUtil,1
nullable,org.mockito.ArgumentMatchers,7
atLeastOnce,org.mockito.Mockito,2
valueOf,io.fabric8.mockwebserver.dsl.HttpMethod,1
getPath,okhttp3.mockwebserver.RecordedRequest,1
containsKey,java.util.Map<io.fabric8.mockwebserver.ServerRequest|java.util.Queue<io.fabric8.mockwebserver.ServerResponse>>,2
get,java.util.Map<io.fabric8.mockwebserver.ServerRequest|java.util.Queue<io.fabric8.mockwebserver.ServerResponse>>,4
peek,java.util.Queue<io.fabric8.mockwebserver.ServerResponse>,2
init,io.fabric8.kubernetes.client.server.mock.KubernetesMockServer,1
createClient,io.fabric8.kubernetes.client.server.mock.KubernetesMockServer,2
destroy,io.fabric8.kubernetes.client.server.mock.KubernetesMockServer,1
takeRequest,okhttp3.mockwebserver.MockWebServer,1
getRequestCount,okhttp3.mockwebserver.MockWebServer,1
expect,io.fabric8.mockwebserver.DefaultMockServer,1
always,io.fabric8.mockwebserver.dsl.Timesable<java.lang.Void>,4
andReturn,io.fabric8.mockwebserver.dsl.Returnable<io.fabric8.mockwebserver.dsl.TimesOnceableOrHttpHeaderable<java.lang.Void>>,4
withPath,io.fabric8.mockwebserver.dsl.Pathable<io.fabric8.mockwebserver.dsl.ReturnOrWebsocketable<io.fabric8.mockwebserver.dsl.TimesOnceableOrHttpHeaderable<java.lang.Void>>>,4
notifier,com.github.tomakehurst.wiremock.core.WireMockConfiguration,1
dynamicPort,com.github.tomakehurst.wiremock.core.WireMockConfiguration,1
wireMockConfig,com.github.tomakehurst.wiremock.core.WireMockConfiguration,1
stubFor,com.github.tomakehurst.wiremock.client.WireMock,1
willReturn,com.github.tomakehurst.wiremock.client.MappingBuilder,1
post,com.github.tomakehurst.wiremock.client.WireMock,1
urlPathEqualTo,com.github.tomakehurst.wiremock.client.WireMock,2
withStatus,com.github.tomakehurst.wiremock.client.ResponseDefinitionBuilder,1
aResponse,com.github.tomakehurst.wiremock.client.WireMock,1
withRequestBody,com.github.tomakehurst.wiremock.matching.RequestPatternBuilder,1
withHeader,com.github.tomakehurst.wiremock.matching.RequestPatternBuilder,1
withQueryParam,com.github.tomakehurst.wiremock.matching.RequestPatternBuilder,3
callRealMethod,org.mockito.invocation.InvocationOnMock,1
atMost,org.mockito.Mockito,2
thenThrow,org.mockito.stubbing.OngoingStubbing<java.lang.String>,4
anyString,org.mockito.ArgumentMatchers,3
mockStatic,org.powermock.api.mockito.PowerMockito,2
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.net.InetAddress>,1
invokeMethod,org.powermock.reflect.Whitebox,9
doThrow,org.mockito.Mockito,1
anyDouble,org.mockito.ArgumentMatchers,5
newSet,org.mockito.internal.util.collections.Sets,2
anyObject,org.mockito.ArgumentMatchers,8
argThat,org.mockito.hamcrest.MockitoHamcrest,2
timeout,org.mockito.Mockito,1
anyCollection,org.mockito.ArgumentMatchers,2

MockedObjects: ,850

# of Mocked objects each file:,3|9|4|2|1|1|2|6|3|1|2|1|4|2|2|3|2|15|4|3|2|5|22|1|9|2|14|5|3|5|36|1|1|1|1|3|6|30|1|24|1|9|19|7|7|1|1|3|2|1|1|1|1|10|1|1|1|2|1|1|2|1|24|3|4|6|14|1|4|2|1|6|2|1|3|1|4|5|7|1|5|4|1|1|23|9|4|2|3|3|1|2|9|2|3|1|1|2|2|12|1|2|3|8|1|1|2|2|1|1|1|1|4|1|5|1|1|4|2|7|9|2|1|1|1|1|2|3|1|2|4|3|6|6|17|7|6|4|4|54|1|1|15|1|8|8|2|9|15|5|8|2|6|5|6|2|4|8|7|1|8|6|9|21|1|2|2|2|2|4|1|
