method, origin, count
mock,org.mockito.Mockito,286
verify,org.mockito.Mockito,67
times,org.mockito.Mockito,4
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>,78
when,org.mockito.Mockito,209
any,org.mockito.ArgumentMatchers,4
eq,org.mockito.ArgumentMatchers,35
anyInt,org.mockito.ArgumentMatchers,1
never,org.mockito.Mockito,1
inOrder,org.mockito.Mockito,4
forClass,org.mockito.ArgumentCaptor,6
doThrow,org.mockito.Mockito,1
endsWith,org.mockito.ArgumentMatchers,1

MockedObjects: ,286

# of Mocked objects each file:,6|2|3|2|1|1|1|4|3|6|8|11|11|2|1|5|4|1|7|1|3|3|1|5|2|7|2|12|5|13|11|2|2|1|4|3|1|15|4|4|2|3|5|4|1|4|8|3|1|2|22|1|12|6|8|1|13|1|1|1|3|1|3|
