Project Name,Mocking Framework,Used in # of Files
abdera,easymock,5
accumulo,easymock,112
accumulo,powermock,4
ace,easymock,6
ace,mockito,10
activemq,mockito,10
activemq,jmock,8
activemq,easymock,1
airavata,mockit,3
ambari,easymock,392
ambari,mockito,52
ambari,powermock,47
ambari,springframework,1
bookkeeper,mockito,155
bookkeeper,powermock,67
bookkeeper,jmock,1
bval,mockito,1
calcite,mockito,1
camel,mockito,357
camel,wiremock,17
camel,gax,3
camel,fabric8,3
camel,mockwebserver,5
camel,mock_javamail,74
camel,opentracing,4
camel,springframework,1
camel,smock,2
camel,mockftpserver,1
