Project Name,File Path,Mocking Framework,Imported Mock Line
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\OSGiRepositoryImplTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\OSGiRepositoryXMLTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\OSGiRequirementAdapterTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\RepositoryAdminTest.java,easymock,org.easymock.Capture
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\RepositoryAdminTest.java,easymock,org.easymock.EasyMock
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\RepositoryAdminTest.java,easymock,org.easymock.IAnswer
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\RepositoryAdminTest.java,easymock,org.easymock.internal.matchers.Captures
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\RepositoryImplTest.java,easymock,org.easymock.EasyMock
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\ResolverImplTest.java,easymock,org.easymock.Capture
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\ResolverImplTest.java,easymock,org.easymock.EasyMock
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\ResolverImplTest.java,easymock,org.easymock.IAnswer
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\ResolverImplTest.java,easymock,org.easymock.internal.matchers.Captures
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\StaxParserTest.java,easymock,org.easymock.Capture
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\StaxParserTest.java,easymock,org.easymock.EasyMock
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\StaxParserTest.java,easymock,org.easymock.IAnswer
felix-dev,felix-dev\bundlerepository\src\test\java\org\apache\felix\bundlerepository\impl\StaxParserTest.java,easymock,org.easymock.internal.matchers.Captures
felix-dev,felix-dev\configadmin-plugins\interpolation\src\test\java\org\apache\felix\configadmin\plugin\interpolation\ActivatorTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\configadmin-plugins\interpolation\src\test\java\org\apache\felix\configadmin\plugin\interpolation\ActivatorTest.java,mockito,org.mockito.invocation.InvocationOnMock
felix-dev,felix-dev\configadmin-plugins\interpolation\src\test\java\org\apache\felix\configadmin\plugin\interpolation\ActivatorTest.java,mockito,org.mockito.stubbing.Answer
felix-dev,felix-dev\configadmin-plugins\interpolation\src\test\java\org\apache\felix\configadmin\plugin\interpolation\InterpolationConfigurationPluginTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\configadmin\src\test\java\org\apache\felix\cm\impl\ConfigurationAdapterTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\configadmin\src\test\java\org\apache\felix\cm\impl\ConfigurationAdminStarterTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\configadmin\src\test\java\org\apache\felix\cm\impl\ConfigurationManagerTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\configadmin\src\test\java\org\apache\felix\cm\impl\RequiredConfigurationPluginTrackerTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfigUtilTest.java,mockito,static org.mockito.Mockito.mock
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfigUtilTest.java,mockito,static org.mockito.Mockito.verify
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfigUtilTest.java,mockito,static org.mockito.Mockito.verifyNoMoreInteractions
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfigUtilTest.java,mockito,static org.mockito.Mockito.when
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfiguratorTest.java,mockito,static org.mockito.Mockito.inOrder
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfiguratorTest.java,mockito,static org.mockito.Mockito.mock
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfiguratorTest.java,mockito,static org.mockito.Mockito.times
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfiguratorTest.java,mockito,static org.mockito.Mockito.verify
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfiguratorTest.java,mockito,static org.mockito.Mockito.when
felix-dev,felix-dev\configurator\src\test\java\org\apache\felix\configurator\impl\ConfiguratorTest.java,mockito,org.mockito.InOrder
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager.shell\test\test\DMCommandTest.java,mockito,static org.mockito.Mockito.mock
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager.shell\test\test\DMCommandTest.java,mockito,static org.mockito.Mockito.when
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager.shell\test\test\DMCommandTest.java,mockito,org.mockito.InjectMocks
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager.shell\test\test\DMCommandTest.java,mockito,org.mockito.Mock
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager.shell\test\test\DMCommandTest.java,mockito,org.mockito.Spy
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager\test\org\apache\felix\dm\impl\ConfigurationDependencyImplTest.java,mockito,static org.mockito.Mockito.mock
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager\test\org\apache\felix\dm\impl\ConfigurationDependencyImplTest.java,mockito,static org.mockito.Mockito.when
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager\test\org\apache\felix\dm\impl\FactoryConfigurationAdapterImplTest.java,mockito,static org.mockito.Mockito.mock
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager\test\org\apache\felix\dm\tracker\TrackedTest.java,mockito,static org.mockito.Mockito.mock
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager\test\org\apache\felix\dm\tracker\TrackedTest.java,mockito,static org.mockito.Mockito.when
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.Matchers
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.invocation.InvocationOnMock
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.stubbing.Answer
