Project Name,Mocking Framework,Used in # of Files
harmony,tests,1
hbase,mockito,233
helix,mockito,48
hive,mockito,199
hive,powermock,14
hive,confluent,1
hop,mockito,260
hop,powermock,36
httpcomponents-client,mockito,49
httpcomponents-core,mockito,26
hudi,mockito,46
hudi,confluent,1
ignite,mockito,40
ignite,mockserver,2
iotdb,mockito,13
iotdb,powermock,4
isis,jmock,96
isis,mockito,11
isis,springframework,1
jackrabbit,mockito,3
jackrabbit,easymock,1
jclouds,jclouds,152
jclouds,easymock,131
jclouds,mockwebserver,100
