Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks
any23,1942,43,24,438,28864,99,8475,5,1
apex-core,6122,82,21,485,75427,139,24966,9,3
archiva,8670,48,65,975,121879,284,47647,41,3
aries,5817,56,485,2065,164201,757,58504,52,3
avro,2885,273,83,666,80631,299,44923,6,1
axis-axis2-java-core,13830,84,45,4588,552062,2827,346496,8,3
beam,32940,1006,124,4987,642853,1950,327184,295,6
bookkeeper,2513,150,38,2169,245238,635,106153,157,3
brooklyn,217,33,13,3279,352360,1414,159650,30,2
bval,1103,15,12,346,23785,112,5545,1,1
calcite,4669,365,65,2170,595255,318,205812,1,1
camel,53496,1079,182,20774,1574727,11071,624476,447,10
carbondata,4901,259,36,1149,149110,138,24812,36,1
cassandra,26814,464,270,3078,484787,1047,209863,8,1
cayenne,6732,66,45,4178,294111,1715,116051,118,3
chainsaw,934,9,35,189,26358,8,621,0,0
chemistry-opencmis,2234,16,37,1267,142441,181,30008,4,1
chukwa,854,20,25,469,43078,117,9727,1,1
clerezza,2324,27,20,243,14982,50,4909,1,1
click,5009,13,54,461,47903,106,7477,0,0
cloudstack,34490,582,146,5798,677551,680,94557,353,7
cocoon,13161,73,75,2535,196085,168,9788,5,2
commons-bcel,1752,37,25,516,41342,87,4178,0,0
creadur-whisker,488,7,1,107,5453,48,2634,0,0
ws-axiom,4677,35,67,3510,136617,2749,104633,10,2
