Project Name,File Path,Mocking Framework,Imported Mock Line
any23,any23\core\src\test\java\org\apache\any23\extractor\ExtractionResultImplTest.java,mockito,org.mockito.Mockito
any23,any23\core\src\test\java\org\apache\any23\extractor\rdfa\ExtractionExceptionTest.java,mockito,static org.mockito.Mockito.mock
any23,any23\core\src\test\java\org\apache\any23\extractor\rdfa\ExtractionExceptionTest.java,mockito,static org.mockito.Mockito.when
any23,any23\core\src\test\java\org\apache\any23\extractor\rdfa\RDFa11ParserTest.java,mockito,static org.mockito.Mockito.mock
any23,any23\core\src\test\java\org\apache\any23\extractor\xpath\TemplateXPathExtractorRuleImplTest.java,mockito,static org.mockito.Mockito.mock
any23,any23\core\src\test\java\org\apache\any23\extractor\xpath\TemplateXPathExtractorRuleImplTest.java,mockito,static org.mockito.Mockito.verify
any23,any23\core\src\test\java\org\apache\any23\filter\IgnoreAccidentalRDFaTest.java,mockito,org.mockito.verification.VerificationMode
any23,any23\core\src\test\java\org\apache\any23\filter\IgnoreAccidentalRDFaTest.java,mockito,static org.mockito.ArgumentMatchers.any
any23,any23\core\src\test\java\org\apache\any23\filter\IgnoreAccidentalRDFaTest.java,mockito,static org.mockito.Mockito.mock
any23,any23\core\src\test\java\org\apache\any23\filter\IgnoreAccidentalRDFaTest.java,mockito,static org.mockito.Mockito.never
any23,any23\core\src\test\java\org\apache\any23\filter\IgnoreAccidentalRDFaTest.java,mockito,static org.mockito.Mockito.times
any23,any23\core\src\test\java\org\apache\any23\filter\IgnoreAccidentalRDFaTest.java,mockito,static org.mockito.Mockito.verify
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\CheckpointTest.java,datatorrent,com.datatorrent.stram.MockContainer.MockOperatorStats
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\StramLocalClusterTest.java,datatorrent,com.datatorrent.stram.StramLocalCluster.MockComponentFactory
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\StramRecoveryTest.java,mockito,org.mockito.Mockito
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\StramRecoveryTest.java,mockito,org.mockito.invocation.InvocationOnMock
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\StramRecoveryTest.java,mockito,org.mockito.stubbing.Answer
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\StreamingContainerManagerTest.java,datatorrent,com.datatorrent.stram.MockContainer.MockOperatorStats
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,mockito,org.mockito.Mockito
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,org.powermock.core.classloader.annotations.PowerMockIgnore
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,org.powermock.core.classloader.annotations.PrepareForTest
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,org.powermock.modules.junit4.rule.PowerMockRule
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,org.powermock.reflect.Whitebox
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,static org.powermock.api.mockito.PowerMockito.mock
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,static org.powermock.api.mockito.PowerMockito.when
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,static org.powermock.api.support.membermodification.MemberMatcher.constructor
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\cli\ApexCliShutdownCommandTest.java,powermock,static org.powermock.api.support.membermodification.MemberModifier.suppress
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\client\StramAppLauncherTest.java,powermock,org.powermock.core.classloader.annotations.PowerMockIgnore
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\client\StramAppLauncherTest.java,powermock,org.powermock.core.classloader.annotations.PrepareForTest
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\client\StramAppLauncherTest.java,powermock,org.powermock.modules.junit4.rule.PowerMockRule
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\client\StramAppLauncherTest.java,powermock,org.powermock.reflect.Whitebox
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\client\StramAppLauncherTest.java,powermock,static org.powermock.api.mockito.PowerMockito.method
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\client\StramAppLauncherTest.java,powermock,static org.powermock.api.mockito.PowerMockito.suppress
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\plan\logical\LogicalPlanTest.java,mockito,static org.mockito.Mockito.mock
apex-core,apex-core\engine\src\test\java\com\datatorrent\stram\plan\physical\PhysicalPlanTest.java,powermock,static org.powermock.api.mockito.PowerMockito.mock
apex-core,apex-core\engine\src\test\java\org\apache\apex\engine\events\grouping\GroupingManagerTest.java,mockito,org.mockito.Mock
apex-core,apex-core\engine\src\test\java\org\apache\apex\engine\events\grouping\GroupingManagerTest.java,mockito,org.mockito.MockitoAnnotations
apex-core,apex-core\engine\src\test\java\org\apache\apex\engine\events\grouping\GroupingManagerTest.java,mockito,static org.mockito.Mockito.when
aries,aries\async\async-impl\src\test\java\org\apache\aries\async\impl\AsyncServiceTest.java,mockito,org.mockito.Mock
aries,aries\async\async-impl\src\test\java\org\apache\aries\async\impl\AsyncServiceTest.java,mockito,org.mockito.runners.MockitoJUnitRunner
aries,aries\blueprint\blueprint-core\src\test\java\org\apache\aries\blueprint\container\BPQuiesceTest.java,easymock,org.easymock.EasyMock
aries,aries\blueprint\blueprint-core\src\test\java\org\apache\aries\blueprint\container\BPQuiesceTest.java,easymock,org.easymock.IMocksControl
aries,aries\blueprint\blueprint-core\src\test\java\org\apache\aries\blueprint\container\DampingPolicyTest.java,easymock,org.easymock.EasyMock
aries,aries\blueprint\blueprint-core\src\test\java\org\apache\aries\blueprint\container\LifecyclePolicyTest.java,easymock,org.easymock.EasyMock
aries,aries\blueprint\blueprint-core\src\test\java\org\apache\aries\blueprint\utils\ReflectionUtilsTest.java,easymock,org.easymock.Capture
aries,aries\blueprint\blueprint-core\src\test\java\org\apache\aries\blueprint\utils\ReflectionUtilsTest.java,easymock,org.easymock.EasyMock
aries,aries\blueprint\blueprint-core\src\test\java\org\apache\aries\blueprint\utils\ReflectionUtilsTest.java,easymock,org.easymock.IAnswer
aries,aries\jmx\jmx-blueprint-core\src\test\java\org\apache\aries\jmx\blueprint\impl\BlueprintMetadataTest.java,jmock,org.jmock.Expectations
aries,aries\jmx\jmx-blueprint-core\src\test\java\org\apache\aries\jmx\blueprint\impl\BlueprintMetadataTest.java,jmock,org.jmock.Mockery
aries,aries\jmx\jmx-blueprint-core\src\test\java\org\apache\aries\jmx\blueprint\impl\BlueprintMetadataTest.java,jmock,org.jmock.integration.junit4.JMock
aries,aries\jmx\jmx-blueprint-core\src\test\java\org\apache\aries\jmx\blueprint\impl\BlueprintMetadataTest.java,jmock,org.jmock.integration.junit4.JUnit4Mockery
aries,aries\jmx\jmx-blueprint-core\src\test\java\org\apache\aries\jmx\blueprint\impl\BlueprintStateTest.java,jmock,org.jmock.Mockery
aries,aries\jmx\jmx-blueprint-core\src\test\java\org\apache\aries\jmx\blueprint\impl\BlueprintStateTest.java,jmock,org.jmock.integration.junit4.JMock
aries,aries\jmx\jmx-blueprint-core\src\test\java\org\apache\aries\jmx\blueprint\impl\BlueprintStateTest.java,jmock,org.jmock.integration.junit4.JUnit4Mockery
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\CompendiumHandlerTest.java,mockito,static org.mockito.Mockito.doReturn
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\CompendiumHandlerTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\CompendiumHandlerTest.java,mockito,static org.mockito.Mockito.spy
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\CompendiumHandlerTest.java,mockito,static org.mockito.Mockito.verify
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\CompendiumHandlerTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminMBeanHandlerTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminTest.java,mockito,static org.mockito.Matchers.anyString
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminTest.java,mockito,static org.mockito.Matchers.eq
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminTest.java,mockito,static org.mockito.Mockito.reset
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminTest.java,mockito,static org.mockito.Mockito.verify
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\cm\ConfigurationAdminTest.java,mockito,org.mockito.ArgumentCaptor
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\codec\BundleDataTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\codec\BundleDataTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\codec\BundleEventDataTest.java,mockito,static org.mockito.Mockito.*
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\codec\ServiceDataTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\codec\ServiceDataTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\codec\ServiceEventDataTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\codec\ServiceEventDataTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateMBeanHandlerTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateMBeanHandlerTest.java,mockito,static org.mockito.Mockito.verify
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateMBeanHandlerTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateTest.java,mockito,static org.mockito.Mockito.atMost
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateTest.java,mockito,static org.mockito.Mockito.never
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateTest.java,mockito,static org.mockito.Mockito.verify
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\BundleStateTest.java,mockito,org.mockito.ArgumentCaptor
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\FrameworkTest.java,mockito,org.mockito.Mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\FrameworkTest.java,mockito,org.mockito.Mockito
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\FrameworkTest.java,mockito,org.mockito.MockitoAnnotations
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\PackageStateTest.java,mockito,org.mockito.Mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\PackageStateTest.java,mockito,org.mockito.Mockito
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\PackageStateTest.java,mockito,org.mockito.MockitoAnnotations
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateMBeanHandlerTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateMBeanHandlerTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateTest.java,mockito,static org.mockito.Mockito.atMost
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateTest.java,mockito,static org.mockito.Mockito.never
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateTest.java,mockito,static org.mockito.Mockito.verify
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\framework\ServiceStateTest.java,mockito,org.mockito.ArgumentCaptor
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\permissionadmin\PermissionAdminTest.java,mockito,org.mockito.Mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\permissionadmin\PermissionAdminTest.java,mockito,org.mockito.Mockito
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\permissionadmin\PermissionAdminTest.java,mockito,org.mockito.MockitoAnnotations
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceMBeanHandlerTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceTest.java,mockito,static org.mockito.Matchers.any
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceTest.java,mockito,static org.mockito.Mockito.doReturn
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceTest.java,mockito,static org.mockito.Mockito.spy
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceTest.java,mockito,static org.mockito.Mockito.verify
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\provisioning\ProvisioningServiceTest.java,mockito,org.mockito.ArgumentCaptor
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\useradmin\UserAdminTest.java,mockito,org.mockito.Mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\useradmin\UserAdminTest.java,mockito,org.mockito.Mockito
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\useradmin\UserAdminTest.java,mockito,org.mockito.MockitoAnnotations
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\util\FrameworkUtilsTest.java,mockito,static org.mockito.Matchers.anyString
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\util\FrameworkUtilsTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\jmx\jmx-core\src\test\java\org\apache\aries\jmx\util\FrameworkUtilsTest.java,mockito,static org.mockito.Mockito.when
aries,aries\jmx\jmx-whiteboard\src\test\java\org\apache\aries\jmx\whiteboard\JmxWhiteboardSupportTest.java,mockito,org.mockito.Mockito
aries,aries\jmx\jmx-whiteboard\src\test\java\org\apache\aries\jmx\whiteboard\JmxWhiteboardSupportTest.java,mockito,org.mockito.invocation.InvocationOnMock
aries,aries\jmx\jmx-whiteboard\src\test\java\org\apache\aries\jmx\whiteboard\JmxWhiteboardSupportTest.java,mockito,org.mockito.stubbing.Answer
aries,aries\jmx\jmx-whiteboard\src\test\java\org\apache\aries\jmx\whiteboard\MBeanHolderTest.java,mockito,org.mockito.Mockito
aries,aries\jmx\jmx-whiteboard\src\test\java\org\apache\aries\jmx\whiteboard\MBeanHolderTest.java,mockito,org.mockito.invocation.InvocationOnMock
aries,aries\jmx\jmx-whiteboard\src\test\java\org\apache\aries\jmx\whiteboard\MBeanHolderTest.java,mockito,org.mockito.stubbing.Answer
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\AbstractProxyTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\AbstractProxyTest.java,mockito,static org.mockito.Mockito.when
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\InterfaceProxyingTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\InterfaceProxyingTest.java,mockito,static org.mockito.Mockito.when
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\InterfaceProxyingTest.java,mockito,org.mockito.Mockito
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\WovenProxyGeneratorTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\WovenProxyGeneratorTest.java,mockito,static org.mockito.Mockito.when
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\WovenProxyPlusSubclassGeneratorTest.java,mockito,static org.mockito.Mockito.mock
aries,aries\proxy\proxy-impl\src\test\java\org\apache\aries\blueprint\proxy\WovenProxyPlusSubclassGeneratorTest.java,mockito,static org.mockito.Mockito.when
aries,aries\spi-fly\spi-fly-core\src\test\java\org\apache\aries\spifly\ProviderBundleTrackerCustomizerGenericCapabilityTest.java,easymock,org.easymock.EasyMock
aries,aries\spi-fly\spi-fly-core\src\test\java\org\apache\aries\spifly\ProviderBundleTrackerCustomizerGenericCapabilityTest.java,easymock,org.easymock.IAnswer
aries,aries\spi-fly\spi-fly-core\src\test\java\org\apache\aries\spifly\ProviderBundleTrackerCustomizerTest.java,easymock,org.easymock.EasyMock
aries,aries\spi-fly\spi-fly-core\src\test\java\org\apache\aries\spifly\UtilTest.java,easymock,org.easymock.EasyMock
aries,aries\spi-fly\spi-fly-core\src\test\java\org\apache\aries\spifly\UtilTest.java,easymock,org.easymock.IAnswer
aries,aries\spi-fly\spi-fly-dynamic-bundle\src\test\java\org\apache\aries\spifly\dynamic\ClientWeavingHookGenericCapabilityTest.java,easymock,org.easymock.EasyMock
aries,aries\spi-fly\spi-fly-dynamic-bundle\src\test\java\org\apache\aries\spifly\dynamic\ClientWeavingHookGenericCapabilityTest.java,easymock,org.easymock.IAnswer
aries,aries\spi-fly\spi-fly-dynamic-bundle\src\test\java\org\apache\aries\spifly\dynamic\ClientWeavingHookOSGi43Test.java,easymock,org.easymock.EasyMock
aries,aries\spi-fly\spi-fly-dynamic-bundle\src\test\java\org\apache\aries\spifly\dynamic\ClientWeavingHookOSGi43Test.java,easymock,org.easymock.IAnswer
aries,aries\spi-fly\spi-fly-dynamic-bundle\src\test\java\org\apache\aries\spifly\dynamic\ClientWeavingHookTest.java,easymock,org.easymock.EasyMock
aries,aries\spi-fly\spi-fly-dynamic-bundle\src\test\java\org\apache\aries\spifly\dynamic\ClientWeavingHookTest.java,easymock,org.easymock.IAnswer
aries,aries\subsystem\subsystem-core\src\test\java\org\apache\aries\subsystem\core\archive\BundleRequiredExecutionEnvironmentHeaderTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-core\src\test\java\org\apache\aries\subsystem\core\internal\BundleRevisionResourceTest.java,easymock,static org.easymock.EasyMock.*
aries,aries\subsystem\subsystem-core\src\test\java\org\apache\aries\subsystem\core\internal\BundleRevisionResourceTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-core\src\test\java\org\apache\aries\subsystem\core\internal\RepositoryServiceRepositoryTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-core\src\test\java\org\apache\aries\subsystem\core\internal\ResolveContextTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-core\src\test\java\org\apache\aries\subsystem\core\internal\ResourceHelperTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-itests\src\test\java\org\apache\aries\subsystem\itests\AriesSubsystemTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-itests\src\test\java\org\apache\aries\subsystem\itests\defect\Aries1383Test.java,easymock,org.easymock.internal.matchers.Null
aries,aries\subsystem\subsystem-itests\src\test\java\org\apache\aries\subsystem\itests\performance\AbstractPerformanceTest.java,easymock,org.easymock.internal.matchers.Null
aries,aries\subsystem\subsystem-obr\src\test\java\org\apache\aries\subsystem\obr\internal\FelixCapabilityAdapterTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-obr\src\test\java\org\apache\aries\subsystem\obr\internal\FelixRequirementAdapterTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-obr\src\test\java\org\apache\aries\subsystem\obr\internal\FelixResourceAdapterTest.java,easymock,org.easymock.EasyMock
aries,aries\subsystem\subsystem-obr\src\test\java\org\apache\aries\subsystem\obr\internal\OsgiRequirementAdapterTest.java,easymock,org.easymock.EasyMock
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\BaseNameSpaceHandlerSetup.java,easymock,org.easymock.EasyMock
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\BaseNameSpaceHandlerSetup.java,easymock,org.easymock.IMocksControl
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\InterceptorTest.java,easymock,static org.easymock.EasyMock.expect
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\InterceptorTest.java,easymock,static org.easymock.EasyMock.replay
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\InterceptorTest.java,easymock,org.easymock.EasyMock
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\InterceptorTest.java,easymock,org.easymock.IMocksControl
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\TranStrategyTest.java,easymock,static org.easymock.EasyMock.createControl
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\TranStrategyTest.java,easymock,static org.easymock.EasyMock.expect
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\TranStrategyTest.java,easymock,static org.easymock.EasyMock.expectLastCall
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\TranStrategyTest.java,easymock,org.easymock.EasyMock
aries,aries\transaction\transaction-blueprint\src\test\java\org\apache\aries\transaction\TranStrategyTest.java,easymock,org.easymock.IMocksControl
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyInputFormat.java,easymock,static org.easymock.EasyMock.*
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyOutputFormat.java,easymock,static org.easymock.EasyMock.*
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyOutputFormat.java,easymock,org.easymock.Capture
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyRecordReader.java,easymock,static org.easymock.EasyMock.*
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyRecordWriter.java,easymock,static org.easymock.EasyMock.createMock
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyRecordWriter.java,easymock,static org.easymock.EasyMock.replay
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyRecordWriter.java,easymock,static org.easymock.EasyMock.verify
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyValueRecordReader.java,easymock,static org.easymock.EasyMock.*
avro,avro\lang\java\mapred\src\test\java\org\apache\avro\mapreduce\TestAvroKeyValueRecordWriter.java,easymock,static org.easymock.EasyMock.createMock
