Project Name,File Path,Mocking Framework,Imported Mock Line
directory-kerby,directory-kerby\kerby-kerb\kerb-util\src\test\java\org\apache\kerby\kerberos\kerb\keytab\KeytabEntryTest.java,mockito,org.mockito.ArgumentMatchers
directory-kerby,directory-kerby\kerby-kerb\kerb-util\src\test\java\org\apache\kerby\kerberos\kerb\keytab\KeytabEntryTest.java,mockito,org.mockito.invocation.InvocationOnMock
directory-kerby,directory-kerby\kerby-kerb\kerb-util\src\test\java\org\apache\kerby\kerberos\kerb\keytab\KeytabEntryTest.java,mockito,org.mockito.junit.MockitoJUnitRunner
directory-kerby,directory-kerby\kerby-kerb\kerb-util\src\test\java\org\apache\kerby\kerberos\kerb\keytab\KeytabEntryTest.java,mockito,org.mockito.stubbing.Answer
directory-kerby,directory-kerby\kerby-kerb\kerb-util\src\test\java\org\apache\kerby\kerberos\kerb\keytab\KeytabEntryTest.java,mockito,static org.mockito.Mockito.doAnswer
directory-kerby,directory-kerby\kerby-kerb\kerb-util\src\test\java\org\apache\kerby\kerberos\kerb\keytab\KeytabEntryTest.java,mockito,static org.mockito.Mockito.doReturn
directory-kerby,directory-kerby\kerby-kerb\kerb-util\src\test\java\org\apache\kerby\kerberos\kerb\keytab\KeytabEntryTest.java,mockito,static org.mockito.Mockito.spy
jena,jena\jena-core\src\test\java\org\apache\jena\graph\GraphEventManagerContractTest.java,mockito,org.mockito.Mockito
jena,jena\jena-core\src\test\java\org\apache\jena\mem\BunchMapContractTest.java,mockito,static org.mockito.Mockito.*
jena,jena\jena-extras\jena-querybuilder\src\test\java\org\apache\jena\arq\querybuilder\ExprFactoryTest.java,mockito,static org.mockito.Mockito.mock
jena,jena\jena-extras\jena-querybuilder\src\test\java\org\apache\jena\arq\querybuilder\ExprFactoryTest.java,mockito,static org.mockito.Mockito.when
jena,jena\jena-permissions\src\test\java\org\apache\jena\permissions\impl\SecuredItemImplTest.java,mockito,org.mockito.ArgumentCaptor
jena,jena\jena-permissions\src\test\java\org\apache\jena\permissions\impl\SecuredItemImplTest.java,mockito,static org.mockito.Mockito.*
jspwiki,jspwiki\jspwiki-api\src\test\java\org\apache\wiki\api\spi\WikiTest.java,mockito,org.mockito.Mock
jspwiki,jspwiki\jspwiki-api\src\test\java\org\apache\wiki\api\spi\WikiTest.java,mockito,org.mockito.Mockito
jspwiki,jspwiki\jspwiki-api\src\test\java\org\apache\wiki\api\spi\WikiTest.java,mockito,org.mockito.junit.jupiter.MockitoExtension
jspwiki,jspwiki\jspwiki-bootstrap\src\test\java\org\apache\wiki\bootstrap\WikiBootstrapServletContextListenerTest.java,mockito,org.mockito.Mock
jspwiki,jspwiki\jspwiki-bootstrap\src\test\java\org\apache\wiki\bootstrap\WikiBootstrapServletContextListenerTest.java,mockito,org.mockito.junit.jupiter.MockitoExtension
jspwiki,jspwiki\jspwiki-kendra-searchprovider\src\test\java\org\apache\wiki\search\kendra\KendraSearchProviderTest.java,sourceforge,net.sourceforge.stripes.mock.MockHttpServletRequest
jspwiki,jspwiki\jspwiki-kendra-searchprovider\src\test\java\org\apache\wiki\search\kendra\KendraSearchProviderTest.java,mockito,org.mockito.Mock
jspwiki,jspwiki\jspwiki-kendra-searchprovider\src\test\java\org\apache\wiki\search\kendra\KendraSearchProviderTest.java,mockito,org.mockito.junit.jupiter.MockitoExtension
jspwiki,jspwiki\jspwiki-kendra-searchprovider\src\test\java\org\apache\wiki\search\kendra\KendraSearchProviderTest.java,mockito,org.mockito.stubbing.Answer
jspwiki,jspwiki\jspwiki-kendra-searchprovider\src\test\java\org\apache\wiki\search\kendra\KendraSearchProviderTest.java,mockito,static org.mockito.ArgumentMatchers.any
jspwiki,jspwiki\jspwiki-kendra-searchprovider\src\test\java\org\apache\wiki\search\kendra\KendraSearchProviderTest.java,mockito,static org.mockito.Mockito.lenient
jspwiki,jspwiki\jspwiki-kendra-searchprovider\src\test\java\org\apache\wiki\search\kendra\KendraSearchProviderTest.java,mockito,static org.mockito.Mockito.when
jspwiki,jspwiki\jspwiki-main\src\test\java\org\apache\wiki\TestEngine.java,sourceforge,net.sourceforge.stripes.mock.MockHttpServletRequest
