Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks
commons-beanutils,1406,54,43,279,33536,161,22573,0,0
commons-bsf,453,21,9,76,7396,12,1038,0,0
commons-chain,682,30,10,153,9132,52,4498,1,1
commons-cli,1102,58,21,52,6235,29,4084,0,0
commons-codec,2144,51,38,147,24515,74,14882,0,0
commons-collections,3630,93,46,590,67625,239,37614,4,1
commons-compress,3347,81,46,546,72558,187,27855,1,1
commons-configuration,3413,42,68,462,51646,201,31143,71,2
commons-crypto,791,38,5,91,6568,43,2958,0,0
commons-csv,1686,46,21,42,8314,31,6216,1,1
commons-daemon,1251,33,61,17,1914,1,244,0,0
commons-dbcp,2477,63,60,136,32354,67,17575,5,1
commons-dbutils,789,36,27,96,7045,46,3934,20,1
commons-digester,2193,34,45,315,21561,107,9345,0,0
commons-email,941,36,37,49,6723,26,3953,3,2
commons-exec,700,27,19,52,3587,21,1778,0,0
commons-fileupload,1183,52,38,72,5112,21,2573,0,0
commons-functor,861,21,2,396,21688,203,14402,0,0
commons-geometry,504,16,7,445,65148,169,44123,0,0
httpcomponents-client,3306,77,124,696,71080,244,35706,49,1
