Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
commons-vfs,3080,54,37,566,35792,184,12443,1,1,0
commons-weaver,536,11,16,115,5803,27,1341,0,0,0
crunch,1093,56,23,730,55388,139,9280,23,1,0
ctakes,2502,32,32,1580,164988,82,5603,0,0,0
curator,2737,130,110,691,59940,174,28908,8,1,0
cxf,16525,225,168,7524,692043,3536,312478,202,7,1
deltaspike,2462,72,37,1826,84236,1048,41121,2,1,2
derby,8269,37,0,2864,693190,1033,335151,0,0,0
directmemory,642,10,2,169,12870,62,5260,1,1,0
directory-ldap-api,5886,24,73,1503,194702,365,78360,1,1,0
directory-server,9832,39,51,1753,219055,469,102713,0,0,0
directory-studio,5733,15,39,1851,216160,164,20823,0,0,0
drill,4070,209,28,4365,570567,972,189129,63,4,0
