Project,#Test Files With Mock Imports,#Test Files,%,,49.94166667,13.5,492,,10.20%,6.05%,62.17%,0.03%
ambari,492,947,0.519535375,,,,,,,,,
cloudstack,424,682,0.62170088,,,,,,,,,
jclouds,383,2212,0.173146474,,,,,,,,,
beam,316,2827,0.111779271,,,,,,,,,
hop,296,930,0.31827957,,,,,,,,,
flink,252,4742,0.053142134,,,,,,,,,
struts,244,686,0.355685131,,,,,,,,,
hbase,233,2133,0.109235818,,,,,,,,,
bookkeeper,223,1956,0.11400818,,,,,,,,,
hive,214,1768,0.121040724,,,,,,,,,
cxf,205,3537,0.057958722,,,,,,,,,
knox,146,473,0.308668076,,,,,,,,,
cayenne,123,1715,0.071720117,,,,,,,,,
accumulo,117,746,0.156836461,,,,,,,,,
shindig,109,362,0.301104972,,,,,,,,,
isis,108,1133,0.095322154,,,,,,,,,
tez,104,295,0.352542373,,,,,,,,,
httpcomponents-client,98,245,0.4,,,,,,,,,
storm,97,466,0.208154506,,,,,,,,,
skywalking,87,271,0.32103321,,,,,,,,,
olingo-odata4,77,519,0.148362235,,,,,,,,,
commons-configuration,71,201,0.353233831,,,,,,,,,
xmlgraphics-fop,68,421,0.16152019,,,,,,,,,
tiles,67,121,0.553719008,,,,,,,,,
mina-vysper,53,264,0.200757576,,,,,,,,,
aries,52,283,0.183745583,,,,,,,,,
shiro,50,164,0.304878049,,,,,,,,,
solr,49,1505,0.03255814,,,,,,,,,
flume,48,282,0.170212766,,,,,,,,,
helix,48,558,0.086021505,,,,,,,,,
archiva,47,139,0.338129496,,,,,,,,,
hudi,47,511,0.091976517,,,,,,,,,
plc4x,43,290,0.148275862,,,,,,,,,
ignite,42,4942,0.008498584,,,,,,,,,
oozie,41,557,0.073608618,,,,,,,,,
logging-log4j2,41,1000,0.041,,,,,,,,,
karaf,40,313,0.127795527,,,,,,,,,
syncope,36,306,0.117647059,,,,,,,,,
phoenix,36,311,0.115755627,,,,,,,,,
mina-sshd,36,315,0.114285714,,,,,,,,,
carbondata,36,11064,0.003253796,,,,,,,,,
myfaces,35,555,0.063063063,,,,,,,,,
brooklyn,30,637,0.047095761,,,,,,,,,
sqoop,28,368,0.076086957,,,,,,,,,
httpcomponents-core,26,281,0.09252669,,,,,,,,,
falcon,25,293,0.085324232,,,,,,,,,
tapestry-5,25,1353,0.018477458,,,,,,,,,
crunch,23,139,0.165467626,,,,,,,,,
spark,23,273,0.084249084,,,,,,,,,
mahout,21,313,0.067092652,,,,,,,,,
commons-dbutils,20,46,0.434782609,,,,,,,,,
turbine-core,20,92,0.217391304,,,,,,,,,
giraph,18,204,0.088235294,,,,,,,,,
activemq,18,2106,0.008547009,,,,,,,,,
oltu,17,76,0.223684211,,,,,,,,,
iotdb,17,680,0.025,,,,,,,,,
ace,16,128,0.125,,,,,,,,,
stratos,16,140,0.114285714,,,,,,,,,
maven,15,267,0.056179775,,,,,,,,,
orc,14,115,0.12173913,,,,,,,,,
jspwiki,13,170,0.076470588,,,,,,,,,
metamodel,12,227,0.052863436,,,,,,,,,
ofbiz-framework,11,92,0.119565217,,,,,,,,,
whirr,11,106,0.103773585,,,,,,,,,
mina,11,109,0.100917431,,,,,,,,,
tomcat,11,674,0.016320475,,,,,,,,,
apex-core,10,99,0.101010101,,,,,,,,,
manifoldcf,10,258,0.03875969,,,,,,,,,
ws-axiom,10,2749,0.003637686,,,,,,,,,
opennlp,9,238,0.037815126,,,,,,,,,
tomee,9,2410,0.00373444,,,,,,,,,
openmeetings,8,95,0.084210526,,,,,,,,,
cassandra,8,138,0.057971014,,,,,,,,,
curator,8,174,0.045977011,,,,,,,,,
axis-axis2-java-core,8,305,0.026229508,,,,,,,,,
commons-io,7,199,0.035175879,,,,,,,,,
openjpa,7,3108,0.002252252,,,,,,,,,
oodt,6,252,0.023809524,,,,,,,,,
reef,6,423,0.014184397,,,,,,,,,
pig,6,518,0.011583012,,,,,,,,,
avro,6,757,0.007926024,,,,,,,,,
mrunit,5,40,0.125,,,,,,,,,
commons-dbcp,5,67,0.074626866,,,,,,,,,
abdera,5,97,0.051546392,,,,,,,,,
cocoon,5,168,0.029761905,,,,,,,,,
commons-lang,5,198,0.025252525,,,,,,,,,
any23,5,412,0.012135922,,,,,,,,,
poi,5,1097,0.004557885,,,,,,,,,
commons-email,4,26,0.153846154,,,,,,,,,
commons-text,4,92,0.043478261,,,,,,,,,
chemistry-opencmis,4,181,0.022099448,,,,,,,,,
commons-collections,4,239,0.016736402,,,,,,,,,
jackrabbit,4,1034,0.003868472,,,,,,,,,
jena,4,1715,0.002332362,,,,,,,,,
thrift,3,89,0.033707865,,,,,,,,,
airavata,3,109,0.027522936,,,,,,,,,
ode,3,198,0.015151515,,,,,,,,,
groovy,3,340,0.008823529,,,,,,,,,
tika,3,418,0.007177033,,,,,,,,,
empire-db,2,29,0.068965517,,,,,,,,,
creadur-rat,2,61,0.032786885,,,,,,,,,
tajo,2,307,0.006514658,,,,,,,,,
polygene-java,2,733,0.002728513,,,,,,,,,
deltaspike,2,1051,0.00190295,,,,,,,,,
servicemix,1,14,0.071428571,,,,,,,,,
commons-csv,1,31,0.032258065,,,,,,,,,
fluo-recipes,1,39,0.025641026,,,,,,,,,
clerezza,1,50,0.02,,,,,,,,,
commons-chain,1,52,0.019230769,,,,,,,,,
directmemory,1,62,0.016129032,,,,,,,,,
commons-jxpath,1,66,0.015151515,,,,,,,,,
fluo,1,85,0.011764706,,,,,,,,,
calcite,1,112,0.008928571,,,,,,,,,
directory-kerby,1,164,0.006097561,,,,,,,,,
commons-compress,1,189,0.005291005,,,,,,,,,
commons-vfs,1,192,0.005208333,,,,,,,,,
pdfbox,1,227,0.004405286,,,,,,,,,
directory-ldap-api,1,365,0.002739726,,,,,,,,,
bval,1,1414,0.000707214,,,,,,,,,
harmony,1,3586,0.000278862,,,,,,,,,
