method, origin, count
mock,org.mockito.Mockito,2808
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>,750
when,org.mockito.Mockito,4599
then,org.mockito.stubbing.OngoingStubbing<java.lang.String>,5
any,org.mockito.ArgumentMatchers,2895
getArgument,org.mockito.invocation.InvocationOnMock,28
doAnswer,org.mockito.Mockito,79
spy,org.mockito.Mockito,340
verify,org.mockito.Mockito,910
never,org.mockito.Mockito,17
thenThrow,org.mockito.stubbing.OngoingStubbing<java.io.OutputStream>,14
eq,org.mockito.ArgumentMatchers,373
argThat,org.mockito.ArgumentMatchers,24
doReturn,org.mockito.Mockito,288
forClass,org.mockito.ArgumentCaptor,35
doNothing,org.mockito.Mockito,12
times,org.mockito.Mockito,175
callRealMethod,org.mockito.invocation.InvocationOnMock,35
anyString,org.mockito.ArgumentMatchers,207
anyObject,org.mockito.ArgumentMatchers,14
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,25
anyInt,org.mockito.ArgumentMatchers,39
contains,org.mockito.ArgumentMatchers,4
doThrow,org.mockito.Mockito,36
anyLong,org.mockito.ArgumentMatchers,4
timeout,org.mockito.Mockito,2
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.lang.String>,19
anyList,org.mockito.ArgumentMatchers,9
reset,org.mockito.Mockito,16
initMocks,org.mockito.MockitoAnnotations,37
rule,org.mockito.junit.MockitoJUnit,2
doCallRealMethod,org.mockito.Mockito,12
extraInterfaces,org.mockito.MockSettings,1
withSettings,org.mockito.Mockito,11
anyBoolean,org.mockito.ArgumentMatchers,6
getArguments,org.mockito.invocation.InvocationOnMock,9
newSet,org.mockito.internal.util.collections.Sets,28
verifyZeroInteractions,org.mockito.Mockito,6
capture,org.mockito.ArgumentCaptor<java.lang.String>,8
getValue,org.mockito.ArgumentCaptor<java.lang.String>,6
same,org.mockito.ArgumentMatchers,83
inOrder,org.mockito.Mockito,2
anyListOf,org.mockito.ArgumentMatchers,5
validateMockitoUsage,org.mockito.Mockito,1
verboseLogging,org.mockito.MockSettings,1
given,org.mockito.BDDMockito,11
instanceFields,org.mockito.internal.util.reflection.Fields.InstanceFields,2
filter,org.mockito.internal.util.reflection.Fields.InstanceFields,2
allDeclaredFieldsOf,org.mockito.internal.util.reflection.Fields,2
jdkField,org.mockito.internal.util.reflection.InstanceField,2
set,org.mockito.internal.util.reflection.InstanceField,2
willReturn,org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.Boolean>,2
atLeastOnce,org.mockito.Mockito,4
verifyNoMoreInteractions,org.mockito.Mockito,7
getMock,org.mockito.stubbing.OngoingStubbing<java.lang.String>,2
returnsFirstArg,org.mockito.AdditionalAnswers,4
atLeast,org.mockito.Mockito,6
defaultAnswer,org.mockito.MockSettings,8
useConstructor,org.mockito.MockSettings,6
isA,org.mockito.ArgumentMatchers,8
openMocks,org.mockito.MockitoAnnotations,2
verifyNoInteractions,org.mockito.Mockito,12
anyMap,org.mockito.ArgumentMatchers,6
