method, origin, count
mock,org.mockito.Mockito,3691
verify,org.mockito.Mockito,855
never,org.mockito.Mockito,2
times,org.mockito.Mockito,467
any,org.mockito.ArgumentMatchers,765
extraInterfaces,org.mockito.MockSettings,1
withSettings,org.mockito.Mockito,3
getMethod,org.mockito.invocation.InvocationOnMock,1
when,org.mockito.stubbing.Stubber,4997
doAnswer,org.mockito.Mockito,57
initMocks,org.mockito.MockitoAnnotations,59
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,1449
anyString,org.mockito.Matchers,206
reset,org.mockito.Mockito,11
spy,org.mockito.Mockito,177
isA,org.mockito.Matchers,7
verifyNoMoreInteractions,org.mockito.Mockito,32
verifyZeroInteractions,org.mockito.Mockito,6
eq,org.mockito.ArgumentMatchers,800
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.util.concurrent.ScheduledFuture<>>,40
anyLong,org.mockito.ArgumentMatchers,531
answerVoid,org.mockito.AdditionalAnswers,2
thenThrow,org.mockito.stubbing.OngoingStubbing<io.netty.buffer.ByteBuf>,10
anyInt,org.mockito.ArgumentMatchers,31
getArgument,org.mockito.invocation.InvocationOnMock,19
doThrow,org.mockito.Mockito,8
anyBoolean,org.mockito.ArgumentMatchers,7
callRealMethod,org.mockito.invocation.InvocationOnMock,3
isSpy,org.mockito.MockingDetails,1
mockingDetails,org.mockito.Mockito,1
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.util.concurrent.CompletableFuture<java.lang.Long>>,10
defaultAnswer,org.mockito.MockSettings,1
useConstructor,org.mockito.MockSettings,1
forClass,org.mockito.ArgumentCaptor,24
atLeastOnce,org.mockito.Mockito,13
same,org.mockito.ArgumentMatchers,20
willReturn,org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.String>,21
given,org.mockito.BDDMockito,3
getArguments,org.mockito.invocation.InvocationOnMock,20
lenient,org.mockito.Mockito,148
doReturn,org.mockito.Mockito,427
mockStatic,org.mockito.Mockito,2
isNull,org.mockito.ArgumentMatchers,13
argThat,org.mockito.hamcrest.MockitoHamcrest,11
atMost,org.mockito.Mockito,1
invocationListeners,org.mockito.MockSettings,1
getInvocation,org.mockito.listeners.MethodInvocationReport,1
capture,org.mockito.ArgumentCaptor<com.google.cloud.bigquery.InsertAllRequest>,15
getAllValues,org.mockito.ArgumentCaptor<com.google.cloud.bigquery.InsertAllRequest>,7
getValue,org.mockito.ArgumentCaptor<com.google.cloud.bigquery.QueryJobConfiguration>,8
openMocks,org.mockito.MockitoAnnotations,2
doNothing,org.mockito.stubbing.BaseStubber,11
inOrder,org.mockito.Mockito,27
then,org.mockito.stubbing.OngoingStubbing<java.lang.String>,4
atLeast,org.mockito.Mockito,3
anyMap,org.mockito.ArgumentMatchers,17
anyList,org.mockito.ArgumentMatchers,4
contains,org.mockito.ArgumentMatchers,24
nullable,org.mockito.ArgumentMatchers,24
anyListOf,org.mockito.ArgumentMatchers,10
anyMapOf,org.mockito.ArgumentMatchers,1
doCallRealMethod,org.mockito.Mockito,4
anyObject,org.mockito.ArgumentMatchers,3
