method, origin, count
addColumn,com.mockrunner.mock.jdbc.MockResultSet,7
addRow,com.mockrunner.mock.jdbc.MockResultSet,5
next,com.mockrunner.mock.jdbc.MockResultSet,5
getParameter,com.mockrunner.mock.jdbc.MockPreparedStatement,10
setServletName,com.mockrunner.mock.web.MockServletConfig,5
setServletContext,com.mockrunner.mock.web.MockServletConfig,5
setSession,com.mockrunner.mock.web.MockHttpServletRequest,1
getSession,com.mockrunner.mock.web.MockHttpServletRequest,1
getPreparedStatementResultSetHandler,com.mockrunner.mock.jdbc.MockConnection,2
setExactMatch,com.mockrunner.jdbc.AbstractResultSetHandler,2
setCaseSensitive,com.mockrunner.jdbc.AbstractResultSetHandler,2
prepareUpdateCount,com.mockrunner.jdbc.AbstractParameterResultSetHandler,2
getNumberCommits,com.mockrunner.mock.jdbc.MockConnection,2
getNumberRollbacks,com.mockrunner.mock.jdbc.MockConnection,2
setInitParameter,com.mockrunner.mock.web.MockFilterConfig,9
setFilterName,com.mockrunner.mock.web.MockFilterConfig,13
setupServletContext,com.mockrunner.mock.web.MockFilterConfig,7
