method, origin, count
mock,org.easymock.EasyMockSupport,30
replay,org.easymock.EasyMock,382
verify,org.easymock.EasyMock,34
createMock,org.easymock.EasyMock,290
anyTimes,org.easymock.IExpectationSetters<java.lang.Object>,710
andReturn,org.easymock.IExpectationSetters<java.lang.Object>,1092
expect,org.easymock.EasyMock,2159
eq,org.easymock.EasyMock,8
reset,org.easymock.EasyMock,12
newCapture,org.easymock.EasyMock,3
capture,org.easymock.EasyMock,5
expectLastCall,org.easymock.EasyMock,71
getValue,org.easymock.Capture<org.osgi.service.event.Event>,1
createControl,org.easymock.EasyMock,10
createNiceMock,org.easymock.EasyMock,1208
anyObject,org.easymock.EasyMock,1
niceMock,org.easymock.EasyMock,16
anyString,org.easymock.EasyMock,15
anyBoolean,org.easymock.EasyMock,5
newInstance,org.easymock.Capture,5
createStrictMock,org.easymock.EasyMock,2
once,org.easymock.IExpectationSetters<java.lang.String>,10
withConstructor,org.easymock.IMockBuilder<java.lang.Object>,3
createMockBuilder,org.easymock.EasyMock,4
addMockedMethod,org.easymock.IMockBuilder<java.lang.Object>,8
atLeastOnce,org.easymock.IExpectationSetters<char[]>,28
