method, origin, count
mock,org.mockito.Mockito,64
when,org.mockito.Mockito,15
doReturn,org.mockito.Mockito,1
then,org.mockito.stubbing.OngoingStubbing<com.amazonaws.services.kendra.model.ListIndicesResult>,48
any,org.mockito.ArgumentMatchers,7
lenient,org.mockito.Mockito,4
should,org.mockito.BDDMockito.Then<java.io.PrintStream>,44
atLeastOnce,org.mockito.Mockito,2
anyInt,org.mockito.ArgumentMatchers,2
spy,org.mockito.Mockito,2
willReturn,org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.Boolean>,121
given,org.mockito.BDDMockito,199
willAnswer,org.mockito.BDDMockito.BDDMyOngoingStubbing<java.sql.Connection>,2
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Long>,1
eq,org.mockito.ArgumentMatchers,94
doAnswer,org.mockito.Mockito,1
