project name, file path, num of dependency classes, num of mocked classes
jena,/jena-core/src/test/java/org/apache/jena/graph/GraphEventManagerContractTest.java,1,1,
jena,/jena-core/src/test/java/org/apache/jena/mem/BunchMapContractTest.java,13,6,
jena,/jena-permissions/src/test/java/org/apache/jena/permissions/impl/SecuredItemImplTest.java,10,4,
jena,/jena-querybuilder/src/test/java/org/apache/jena/arq/querybuilder/ExprFactoryTest.java,11,2,
kerby,/kerb-util/src/test/java/org/apache/kerby/kerberos/kerb/keytab/KeytabEntryTest.java,93,1,
karaf,/karaf-maven-plugin/src/test/java/org/apache/karaf/tooling/RunMojoTest.java,12,2,
karaf,/org.apache.karaf.bundle.core/src/test/java/org/apache/karaf/bundle/command/TestBundleFactory.java,28,1,
karaf,/org.apache.karaf.config.core/src/test/java/org/apache/karaf/config/command/EditCommandTest.java,11,1,
karaf,/org.apache.karaf.config.core/src/test/java/org/apache/karaf/config/command/UpdateCommandTest.java,11,1,
karaf,/org.apache.karaf.config.core/src/test/java/org/apache/karaf/config/core/impl/JsonConfigInstallerTest.java,9,1,
karaf,/org.apache.karaf.deployer.kar/src/test/java/org/apache/karaf/deployer/kar/KarArtifactInstallerTest.java,11,3,
karaf,/org.apache.karaf.event/src/test/java/org/apache/karaf/event/command/EventSendCommandTest.java,10,2,
karaf,/org.apache.karaf.event/src/test/java/org/apache/karaf/event/command/EventDisplayCommandTest.java,18,2,
karaf,/org.apache.karaf.event/src/test/java/org/apache/karaf/event/command/EventTailCommandTest.java,9,1,
karaf,/org.apache.karaf.features.command/src/test/java/org/apache/karaf/features/command/ListFeaturesCommandTest.java,14,4,
karaf,/org.apache.karaf.features.core/src/test/java/org/apache/karaf/features/AppendTest.java,10,1,
karaf,/org.apache.karaf.features.core/src/test/java/org/apache/karaf/features/TestBase.java,22,1,
karaf,/org.apache.karaf.features.core/src/test/java/org/apache/karaf/features/FeaturesServiceTest.java,13,4,
karaf,/org.apache.karaf.features.core/src/test/java/org/apache/karaf/features/internal/osgi/ActivatorTest.java,32,6,
karaf,/org.apache.karaf.features.core/src/test/java/org/apache/karaf/features/internal/service/BootFeaturesInstallerTest.java,14,6,
karaf,/org.apache.karaf.features.core/src/test/java/org/apache/karaf/features/internal/service/DeployerTest.java,23,1,
