method, origin, count
mock,org.mockito.Mockito,345
when,org.mockito.Mockito,328
verify,org.mockito.Mockito,403
any,org.mockito.ArgumentMatchers,52
eq,org.mockito.ArgumentMatchers,9
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.nio.ByteBuffer>,1
anyInt,org.mockito.ArgumentMatchers,4
anyBoolean,org.mockito.ArgumentMatchers,1
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,51
verifyZeroInteractions,org.mockito.Mockito,2
inOrder,org.mockito.Mockito,30
initMocks,org.mockito.MockitoAnnotations,7
doNothing,org.mockito.Mockito,3
anyCollectionOf,org.mockito.Matchers,4
anyLong,org.mockito.Matchers,8
spy,org.mockito.Mockito,3
doReturn,org.mockito.Mockito,12
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.lang.Long>,10
doThrow,org.mockito.Mockito,2
never,org.mockito.Mockito,2
times,org.mockito.Mockito,12
anyString,org.mockito.ArgumentMatchers,12
getArgument,org.mockito.invocation.InvocationOnMock,10
timeout,org.mockito.Mockito,6
then,org.mockito.stubbing.OngoingStubbing<java.lang.Object>,4
forClass,org.mockito.ArgumentCaptor,2
closeQuietly,org.mockito.internal.util.io.IOUtil,1
doCallRealMethod,org.mockito.Mockito,1
