method, origin, count
matchAndReturn,com.mockobjects.dynamic.Mock,51
expectAndReturn,com.mockobjects.dynamic.Mock,199
isA,com.mockobjects.dynamic.C,4
proxy,com.mockobjects.dynamic.Mock,57
verify,com.mockobjects.dynamic.Mock,84
args,com.mockobjects.dynamic.C,47
eq,com.mockobjects.dynamic.C,80
expectAndThrow,com.mockobjects.dynamic.Mock,12
setupGetServletPath,com.mockobjects.servlet.MockHttpServletRequest,59
setupGetParameterMap,com.mockobjects.servlet.MockHttpServletRequest,8
setupGetContextPath,com.mockobjects.servlet.MockHttpServletRequest,2
setupGetRequestURI,com.mockobjects.servlet.MockHttpServletRequest,23
setupGetAttribute,com.mockobjects.servlet.MockHttpServletRequest,24
addExpectedGetAttributeName,com.mockobjects.servlet.MockHttpServletRequest,24
setupGetMethod,com.mockobjects.servlet.MockHttpServletRequest,10
setSession,com.mockobjects.servlet.MockHttpServletRequest,9
setExpectedError,com.mockobjects.servlet.MockHttpServletResponse,1
setExpectedContentType,com.mockobjects.servlet.MockHttpServletResponse,3
setExpectedHeader,com.mockobjects.servlet.MockHttpServletResponse,3
setRequest,com.mockobjects.servlet.MockPageContext,17
setServletContext,com.mockobjects.servlet.MockPageContext,4
setJspWriter,com.mockobjects.servlet.MockPageContext,21
getServletContext,com.mockobjects.servlet.MockPageContext,4
setExpectedData,com.mockobjects.servlet.MockJspWriter,10
getRequest,com.mockobjects.servlet.MockPageContext,1
setupGetEnclosingWriter,com.mockobjects.servlet.MockBodyContent,1
