project name, file path, num of dependency classes, num of mocked classes
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/client/config/keys/LazyClientIdentityIteratorTest.java,13,2
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/compression/BuiltinCompressionsTest.java,19,1
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/file/util/BasePathTest.java,22,1
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/future/DefaultSshFutureTest.java,9,1
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/keyprovider/KeyIdentityProviderResolutionTest.java,14,1
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/keyprovider/KeyPairProviderTest.java,17,2
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/keyprovider/MultiKeyIdentityProviderTest.java,16,2
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/mac/BuiltinMacsTest.java,18,1
mina-sshd,/sshd-common/src/test/java/org/apache/sshd/common/signature/BuiltinSignaturesTest.java,15,1
mina-sshd,/sshd-contrib/src/test/java/org/apache/sshd/contrib/client/auth/password/InteractivePasswordIdentityProviderTest.java,18,2
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/agent/AgentTest.java,36,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/client/ClientAuthenticationManagerTest.java,37,5
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/client/keyverifier/KnownHostsServerKeyVerifierTest.java,42,2
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/client/keyverifier/StaticServerKeyVerifierTest.java,15,2
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/PropertyResolverUtilsTest.java,17,2
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/AttributeStoreTest.java,11,3
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/channel/ChannelPipedOutputStreamTest.java,12,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/channel/ChannelAsyncOutputStreamTest.java,17,4
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/cipher/BuiltinCiphersTest.java,20,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/io/DefaultIoServiceFactoryFactoryTest.java,8,2
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/kex/BuiltinDHFactoriesTest.java,18,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/common/kex/extension/KexExtensionHandlerTest.java,21,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/server/PublickeyAuthenticatorTest.java,19,2
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/server/config/keys/AuthorizedKeysAuthenticatorTest.java,21,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/server/config/keys/DefaultAuthorizedKeysAuthenticatorTest.java,14,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/server/forward/ForwardingFilterTest.java,7,1
mina-sshd,/sshd-core/src/test/java/org/apache/sshd/server/shell/InvertedShellWrapperTest.java,20,1
mina-sshd,/sshd-ldap/src/test/java/org/apache/sshd/ldap/LdapPasswordAuthenticatorTest.java,14,1
mina-sshd,/sshd-ldap/src/test/java/org/apache/sshd/ldap/LdapPublickeyAuthenticatorTest.java,22,1
mina-sshd,/sshd-openpgp/src/test/java/org/apache/sshd/openpgp/PGPUtilsKeyFingerprintTest.java,43,1
mina-sshd,/sshd-putty/src/test/java/org/apache/sshd/putty/PuttyKeyUtilsTest.java,27,1
mina-sshd,/sshd-scp/src/test/java/org/apache/sshd/scp/server/ScpCommandFactoryTest.java,11,2
mina-sshd,/sshd-sftp/src/test/java/org/apache/sshd/sftp/client/SftpVersionSelectorTest.java,14,1
mina-sshd,/sshd-sftp/src/test/java/org/apache/sshd/sftp/client/DefaultCloseableHandleTest.java,14,1
mina-sshd,/sshd-sftp/src/test/java/org/apache/sshd/sftp/client/extensions/BuiltinSftpClientExtensionsTest.java,9,2
mina-sshd,/sshd-sftp/src/test/java/org/apache/sshd/sftp/server/SftpSubsystemFactoryTest.java,8,1
skywalking,/agent-analyzer/src/test/java/org/apache/skywalking/oap/server/analyzer/provider/meter/process/MeterProcessorTest.java,39,3
skywalking,/agent-analyzer/src/test/java/org/apache/skywalking/oap/server/analyzer/provider/trace/UninstrumentedGatewaysConfigTest.java,8,0
skywalking,/agent-analyzer/src/test/java/org/apache/skywalking/oap/server/analyzer/provider/trace/TraceSamplingPolicyWatcherTest.java,17,0
skywalking,/cluster-consul-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/consul/ConsulCoordinatorTest.java,26,8
skywalking,/cluster-consul-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/consul/ClusterModuleConsulProviderTest.java,34,4
skywalking,/cluster-consul-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/consul/ITClusterModuleConsulProviderFunctionalTest.java,33,2
skywalking,/cluster-etcd-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/etcd/ITClusterModuleEtcdProviderFunctionalTest.java,27,2
skywalking,/cluster-etcd-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/etcd/ITClusterEtcdPluginTest.java,23,2
skywalking,/cluster-kubernetes-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/kubernetes/ClusterModuleKubernetesProviderTest.java,19,2
skywalking,/cluster-kubernetes-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/kubernetes/KubernetesCoordinatorTest.java,31,3
skywalking,/cluster-nacos-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/nacos/ITClusterModuleNacosProviderFunctionalTest.java,30,2
skywalking,/cluster-nacos-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/nacos/NacosCoordinatorTest.java,21,3
skywalking,/cluster-zookeeper-plugin/src/test/java/org/apache/skywalking/oap/server/cluster/plugin/zookeeper/ITClusterModuleZookeeperProviderFunctionalTest.java,29,2
