project name, file path, num of dependency classes, num of mocked classes
commons-io,/commons-io/src/test/java/org/apache/commons/io/input/TeeReaderTest.java,17,2,
commons-io,/commons-io/src/test/java/org/apache/commons/io/input/TeeInputStreamTest.java,15,2,
commons-io,/commons-io/src/test/java/org/apache/commons/io/input/CloseShieldReaderTest.java,8,0,
commons-io,/commons-io/src/test/java/org/apache/commons/io/output/TeeWriterTest.java,13,1,
commons-io,/commons-io/src/test/java/org/apache/commons/io/output/TeeOutputStreamTest.java,9,1,
commons-io,/commons-io/src/test/java/org/apache/commons/io/output/CloseShieldWriterTest.java,9,0,
commons-io,/commons-io/src/test/java/org/apache/commons/io/output/ProxyCollectionWriterTest.java,13,1,
commons-jxpath,/commons-jxpath/src/test/java/org/apache/commons/jxpath/servlet/JXPathServletContextTest.java,11,0,
commons-lang,/commons-lang3/src/test/java/org/apache/commons/lang3/concurrent/TimedSemaphoreTest.java,13,2,
commons-lang,/commons-lang3/src/test/java/org/apache/commons/lang3/concurrent/BasicThreadFactoryTest.java,12,3,
commons-lang,/commons-lang3/src/test/java/org/apache/commons/lang3/concurrent/ConcurrentUtilsTest.java,14,2,
commons-lang,/commons-lang3/src/test/java/org/apache/commons/lang3/concurrent/MemoizerTest.java,7,1,
commons-lang,/commons-lang3/src/test/java/org/apache/commons/lang3/event/EventListenerSupportTest.java,17,1,
commons-text,/commons-text/src/test/java/org/apache/commons/text/TextStringBuilderAppendInsertTest.java,16,0,
commons-text,/commons-text/src/test/java/org/apache/commons/text/lookup/UrlDecoderStringLookupTest.java,7,0,
commons-text,/commons-text/src/test/java/org/apache/commons/text/lookup/ResourceBundleStringLookupTest.java,7,0,
commons-text,/commons-text/src/test/java/org/apache/commons/text/lookup/UrlEncoderStringLookupTest.java,7,0,
