method, origin, count
extensions,com.github.tomakehurst.wiremock.core.WireMockConfiguration,1
wireMockConfig,com.github.tomakehurst.wiremock.core.WireMockConfiguration,2
build,com.github.tomakehurst.wiremock.http.Response.Builder,1
body,com.github.tomakehurst.wiremock.http.Response.Builder,1
but,com.github.tomakehurst.wiremock.http.Response.Builder,1
like,com.github.tomakehurst.wiremock.http.Response.Builder,1
baseUrl,com.github.tomakehurst.wiremock.WireMockServer,2
stubFor,com.github.tomakehurst.wiremock.WireMockServer,18
willReturn,com.github.tomakehurst.wiremock.client.MappingBuilder,18
get,com.github.tomakehurst.wiremock.client.WireMock,10
withTransformers,com.github.tomakehurst.wiremock.client.ResponseDefinitionBuilder,1
ok,com.github.tomakehurst.wiremock.client.WireMock,1
dynamicPort,com.github.tomakehurst.wiremock.core.WireMockConfiguration,5
options,com.github.tomakehurst.wiremock.core.WireMockConfiguration,4
urlEqualTo,com.github.tomakehurst.wiremock.client.WireMock,16
withStatus,com.github.tomakehurst.wiremock.client.ResponseDefinitionBuilder,2
aResponse,com.github.tomakehurst.wiremock.client.WireMock,16
put,com.github.tomakehurst.wiremock.client.WireMock,4
withBody,com.github.tomakehurst.wiremock.client.ResponseDefinitionBuilder,8
