method, origin, count
createMock,org.easymock.EasyMock,1930
replay,org.easymock.EasyMock,486
verify,org.easymock.EasyMock,362
createNiceControl,org.easymock.EasyMock,238
reset,org.easymock.EasyMock,80
expectLastCall,org.easymock.EasyMock,260
times,org.easymock.IExpectationSetters<java.lang.Object>,8
checkOrder,org.easymock.EasyMock,2
eq,org.easymock.EasyMock,18
isA,org.easymock.EasyMock,46
andReturn,org.easymock.IExpectationSetters<java.lang.Object>,446
createNiceMock,org.easymock.EasyMock,10
reportMatcher,org.easymock.EasyMock,10
mock,org.easymock.EasyMock,70
expect,org.easymock.EasyMock,1676
andStubReturn,org.easymock.IExpectationSetters<java.lang.Integer>,2
andAnswer,org.easymock.IExpectationSetters<java.lang.Integer>,2
anyObject,org.easymock.EasyMock,16
anyInt,org.easymock.EasyMock,4
createControl,org.easymock.EasyMock,6
anyTimes,org.easymock.IExpectationSetters<java.lang.Object>,136
makeThreadSafe,org.easymock.IMocksControl,12
addMockedMethod,org.easymock.IMockBuilder<java.lang.Object>,8
createMockBuilder,org.easymock.EasyMock,14
replayAll,org.easymock.EasyMockSupport,12
addMockedMethods,org.easymock.IMockBuilder<java.lang.Object>,6
once,org.easymock.IExpectationSetters<java.lang.Object>,12
