"method"," origin"," count"
"createMock","org.easymock.EasyMockSupport","6"
"createMock","org.easymock.EasyMock","143"
"replay","org.easymock.EasyMock","77"
"verify","org.easymock.EasyMock","17"
"createControl","org.easymock.EasyMock","30"
"reset","org.easymock.IMocksControl","18"
"expect","org.easymock.EasyMock","197"
"anyObject","org.easymock.EasyMock","21"
"anyTimes","org.easymock.IExpectationSetters<java.util.Locale>","46"
"andReturn","org.easymock.IExpectationSetters<java.util.Locale>","73"
"eq","org.easymock.EasyMock","13"
"andThrow","org.easymock.IExpectationSetters<java.lang.Object>","10"
"expectLastCall","org.easymock.EasyMock","12"
"once","org.easymock.IExpectationSetters<java.lang.Object>","3"
"createNiceControl","org.easymock.EasyMock","5"
"times","org.easymock.IExpectationSetters<java.lang.Object>","3"
"createNiceMock","org.easymock.EasyMock","49"
"newInstance","org.easymock.Capture","1"
"andAnswer","org.easymock.IExpectationSetters<java.lang.Class>","1"
"capture","org.easymock.EasyMock","1"
"getValue","org.easymock.Capture<java.lang.String>","1"
"getMock","org.easymock.MockControl","1"
"createStrictControl","org.easymock.MockControl","1"
"createMock","org.easymock.EasyMock","113"
"verify","org.easymock.EasyMock","2"
"replay","org.easymock.EasyMock","23"
"anyTimes","org.easymock.IExpectationSetters<java.lang.String>","17"
"andReturn","org.easymock.IExpectationSetters<java.lang.String>","28"
"expect","org.easymock.EasyMock","31"
"reset","org.easymock.EasyMock","2"
"replayAll","org.easymock.EasyMockSupport","3"
"verifyAll","org.easymock.EasyMockSupport","3"
"createControl","org.easymock.classextension.MockClassControl","20"
"createNiceControl","org.easymock.classextension.EasyMock","3"
"checkOrder","org.easymock.IMocksControl","2"
"same","org.easymock.EasyMock","6"
"createNiceMock","org.easymock.classextension.EasyMock","7"
"expectLastCall","org.easymock.EasyMock","20"
"isA","org.easymock.EasyMock","9"
"once","org.easymock.IExpectationSetters<java.lang.Object>","7"
"andAnswer","org.easymock.IExpectationSetters<java.lang.Object>","12"
"getCurrentArguments","org.easymock.EasyMock","7"
"andThrow","org.easymock.IExpectationSetters<java.lang.Object>","8"
"createMock","org.easymock.EasyMock","80"
"andStubReturn","org.easymock.IExpectationSetters<java.lang.String>","155"
"expect","org.easymock.EasyMock","190"
"replay","org.easymock.EasyMock","90"
"verify","org.easymock.EasyMock","54"
"createStrictMock","org.easymock.EasyMock","20"
"reset","org.easymock.EasyMock","10"
"andReturn","org.easymock.IExpectationSetters<java.util.Map>","7"
"createMock","org.easymock.EasyMock","286"
"createNiceMock","org.easymock.EasyMock","74"
"addMockedMethods","org.easymock.IMockBuilder<T>","1"
"createMockBuilder","org.easymock.EasyMock","2"
"replay","org.easymock.EasyMock","124"
"once","org.easymock.IExpectationSetters<java.lang.String>","7"
"andReturn","org.easymock.IExpectationSetters<java.lang.String>","219"
"expect","org.easymock.EasyMock","785"
"isA","org.easymock.EasyMock","76"
"eq","org.easymock.EasyMock","194"
"createNiceControl","org.easymock.EasyMock","4"
"anyTimes","org.easymock.IExpectationSetters<java.util.List<java.lang.String>>","97"
"verify","org.easymock.EasyMock","75"
"createControl","org.easymock.EasyMock","18"
"createStrictControl","org.easymock.EasyMock","4"
"same","org.easymock.EasyMock","9"
"and","org.easymock.EasyMock","5"
"capture","org.easymock.EasyMock","8"
"andStubReturn","org.easymock.IExpectationSetters<java.lang.String>","1"
"makeThreadSafe","org.easymock.EasyMock","1"
"isNull","org.easymock.EasyMock","1"
"times","org.easymock.IExpectationSetters<java.lang.Object>","2"
"expectLastCall","org.easymock.EasyMock","2"
"anyObject","org.easymock.EasyMock","2"
"newInstance","org.easymock.Capture","1"
"captureInt","org.easymock.EasyMock","1"
"getValue","org.easymock.Capture<java.lang.Integer>","1"
"createStrictMock","org.easymock.EasyMock","40"
"andReturn","org.easymock.IExpectationSetters<java.util.Set>","207"
"expect","org.easymock.EasyMock","340"
"replay","org.easymock.EasyMock","60"
"checkOrder","org.easymock.EasyMock","1"
"createMock","org.easymock.EasyMock","100"
"andStubReturn","org.easymock.IExpectationSetters<java.lang.String>","53"
"createNiceMock","org.easymock.EasyMock","44"
"andStubThrow","org.easymock.IExpectationSetters<java.lang.Object>","2"
"expectLastCall","org.easymock.EasyMock","90"
"createNiceControl","org.easymock.EasyMock","1"
"createControl","org.easymock.EasyMock","20"
"anyTimes","org.easymock.IExpectationSetters<java.lang.Object>","7"
"anyObject","org.easymock.EasyMock","20"
"andAnswer","org.easymock.IExpectationSetters<java.lang.Object>","1"
"atLeastOnce","org.easymock.IExpectationSetters<java.lang.Class>","11"
"andReturn","org.easymock.IExpectationSetters<java.lang.Class>","253"
"andStubReturn","org.easymock.IExpectationSetters<java.lang.Object>","6"
"isA","org.easymock.EasyMock","30"
"andThrow","org.easymock.IExpectationSetters<java.lang.Object>","4"
"createNiceMock","org.easymock.EasyMock","2"
"replay","org.easymock.EasyMock","66"
"anyTimes","org.easymock.IExpectationSetters<java.lang.Boolean>","33"
"anyObject","org.easymock.EasyMock","2"
"or","org.easymock.EasyMock","2"
"isNull","org.easymock.EasyMock","2"
"eq","org.easymock.EasyMock","19"
"andAnswer","org.easymock.IExpectationSetters<java.lang.Object>","8"
"times","org.easymock.IExpectationSetters<java.lang.Object>","3"
"expectLastCall","org.easymock.EasyMock","5"
"checkOrder","org.easymock.IMocksControl","8"
"getCurrentArguments","org.easymock.EasyMock","5"
"expect","org.easymock.EasyMock","112"
"verify","org.easymock.EasyMock","48"
"createMock","org.easymock.EasyMock","665"
"once","org.easymock.IExpectationSetters<java.lang.String>","4"
"resetToNice","org.easymock.IMocksControl","1"
"contains","org.easymock.EasyMock","1"
"same","org.easymock.EasyMock","1"
"createControl","org.easymock.EasyMock","1"
"reset","org.easymock.IMocksControl","1"
"createMockBuilder","org.easymock.classextension.EasyMock","4"
"matches","org.easymock.EasyMock","1"
"createStrictControl","org.easymock.EasyMock","1"
"createMock","org.easymock.IMocksControl","22"
"createControl","org.easymock.EasyMock","2"
"createMock","org.easymock.EasyMock","243"
"expect","org.easymock.EasyMock","119"
"replay","org.easymock.EasyMock","176"
"verify","org.easymock.EasyMock","32"
"andReturn","org.easymock.IExpectationSetters<java.util.Iterator<java.lang.Long>>","52"
"createNiceMock","org.easymock.EasyMock","4"
"createStrictMock","org.easymock.EasyMock","1"
"andThrow","org.easymock.IExpectationSetters<java.sql.Connection>","6"
"anyObject","org.easymock.EasyMock","14"
"anyTimes","org.easymock.IExpectationSetters<java.lang.Object>","7"
"andAnswer","org.easymock.IExpectationSetters<java.lang.Object>","3"
"expectLastCall","org.easymock.EasyMock","5"
"getCurrentArguments","org.easymock.EasyMock","3"
"reset","org.easymock.EasyMock","3"
"eq","org.easymock.EasyMock","3"
"anyString","org.easymock.EasyMock","2"
"createMock","org.easymock.EasyMock","44"
"replay","org.easymock.EasyMock","22"
"verify","org.easymock.EasyMock","16"
"andReturn","org.easymock.IExpectationSetters<java.lang.Object>","4"
"expect","org.easymock.EasyMock","11"
"mock","org.easymock.EasyMock","1"
"andThrow","org.easymock.IExpectationSetters<java.lang.Integer>","5"
