project name, file path, num of dependency classes, num of mocked classes,
abdera,/core/src/test/java/org/apache/abdera/util/MimeTypeHelperTest.java,10,3,30%
abdera,/opensearch/src/test/java/org/apache/abdera/test/ext/opensearch/server/impl/SimpleOpenSearchInfoTest.java,11,1,9%
abdera,/server/src/test/java/org/apache/abdera/protocol/server/processors/EntryRequestProcessorTest.java,6,3,50%
abdera,/server/src/test/java/org/apache/abdera/protocol/server/processors/MediaRequestProcessorTest.java,6,3,50%
abdera,/server/src/test/java/org/apache/abdera/protocol/server/test/route/RouteTest.java,16,1,6%
accumulo,/base/src/test/java/org/apache/accumulo/server/ServerContextTest.java,25,3,12%
accumulo,/base/src/test/java/org/apache/accumulo/server/MockServerContext.java,8,1,13%
accumulo,/base/src/test/java/org/apache/accumulo/server/ServiceEnvironmentImplTest.java,11,2,18%
accumulo,/base/src/test/java/org/apache/accumulo/server/client/BulkImporterTest.java,29,0,0%
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/ServerConfigurationFactoryTest.java,25,2,8%
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/ZooCachePropertyAccessorTest.java,16,3,19%
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/NamespaceConfigurationTest.java,25,3,12%
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/ZooConfigurationFactoryTest.java,17,3,18%
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/TableConfigurationTest.java,22,3,14%
accumulo,/base/src/test/java/org/apache/accumulo/server/constraints/MetadataConstraintsTest.java,17,2,12%
accumulo,/base/src/test/java/org/apache/accumulo/server/init/InitializeTest.java,17,3,18%
accumulo,/base/src/test/java/org/apache/accumulo/server/iterators/MetadataBulkLoadFilterTest.java,20,1,5%
accumulo,/base/src/test/java/org/apache/accumulo/server/manager/LiveTServerSetTest.java,12,3,25%
accumulo,/base/src/test/java/org/apache/accumulo/server/manager/state/MergeInfoTest.java,20,1,5%
accumulo,/base/src/test/java/org/apache/accumulo/server/manager/state/TabletLocationStateTest.java,19,2,11%
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/BaseHostRegexTableLoadBalancerTest.java,35,2,6%
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancerReconfigurationTest.java,22,0,0%
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancerTest.java,30,0,0%
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/TableLoadBalancerTest.java,30,2,7%
accumulo,/base/src/test/java/org/apache/accumulo/server/problems/ProblemReportTest.java,27,1,4%
accumulo,/base/src/test/java/org/apache/accumulo/server/problems/ProblemReportingIteratorTest.java,19,4,21%
accumulo,/base/src/test/java/org/apache/accumulo/server/replication/ReplicationUtilTest.java,10,3,30%
accumulo,/base/src/test/java/org/apache/accumulo/server/security/delegation/ZooAuthenticationKeyWatcherTest.java,27,1,4%
accumulo,/base/src/test/java/org/apache/accumulo/server/security/delegation/ZooAuthenticationKeyDistributorTest.java,26,1,4%
accumulo,/base/src/test/java/org/apache/accumulo/server/security/delegation/AuthenticationTokenSecretManagerTest.java,30,1,3%
accumulo,/base/src/test/java/org/apache/accumulo/server/security/delegation/AuthenticationTokenKeyManagerTest.java,16,3,19%
accumulo,/base/src/test/java/org/apache/accumulo/server/security/handler/ZKAuthenticatorTest.java,27,2,7%
accumulo,/base/src/test/java/org/apache/accumulo/server/tablets/LogicalTimeTest.java,11,1,9%
accumulo,/base/src/test/java/org/apache/accumulo/server/tablets/TabletTimeTest.java,13,1,8%
accumulo,/base/src/test/java/org/apache/accumulo/server/tablets/MillisTimeTest.java,12,1,8%
accumulo,/base/src/test/java/org/apache/accumulo/server/util/ReplicationTableUtilTest.java,39,4,10%
accumulo,/base/src/test/java/org/apache/accumulo/server/util/AdminTest.java,10,2,20%
accumulo,/base/src/test/java/org/apache/accumulo/server/util/TServerUtilsTest.java,32,1,3%
accumulo,/compaction-coordinator/src/test/java/org/apache/accumulo/coordinator/CompactionCoordinatorTest.java,49,11,22%
accumulo,/compactor/src/test/java/org/apache/accumulo/compactor/CompactorTest.java,42,8,19%
accumulo,/core/src/test/java/org/apache/accumulo/core/client/ZooKeeperInstanceTest.java,15,3,20%
accumulo,/core/src/test/java/org/apache/accumulo/core/clientImpl/ScannerBaseTest.java,11,1,9%
accumulo,/core/src/test/java/org/apache/accumulo/core/clientImpl/TabletLocatorImplTest.java,38,1,3%
accumulo,/core/src/test/java/org/apache/accumulo/core/clientImpl/TabletServerBatchReaderTest.java,8,1,13%
accumulo,/core/src/test/java/org/apache/accumulo/core/clientImpl/ZookeeperLockCheckerTest.java,8,2,25%
accumulo,/core/src/test/java/org/apache/accumulo/core/clientImpl/RootTabletLocatorTest.java,9,3,33%
accumulo,/core/src/test/java/org/apache/accumulo/core/clientImpl/ThriftTransportKeyTest.java,22,4,18%
accumulo,/core/src/test/java/org/apache/accumulo/core/clientImpl/ScannerImplTest.java,7,1,14%
accumulo,/core/src/test/java/org/apache/accumulo/core/constraints/VisibilityConstraintTest.java,15,2,13%
accumulo,/core/src/test/java/org/apache/accumulo/core/data/ValueTest.java,19,1,5%
accumulo,/core/src/test/java/org/apache/accumulo/core/data/constraints/VisibilityConstraintTest.java,16,2,13%
accumulo,/core/src/test/java/org/apache/accumulo/core/file/streams/RateLimitedOutputStreamTest.java,9,1,11%
accumulo,/core/src/test/java/org/apache/accumulo/core/file/streams/RateLimitedInputStreamTest.java,8,1,13%
accumulo,/core/src/test/java/org/apache/accumulo/core/iterators/user/TransformingIteratorTest.java,36,1,3%
accumulo,/core/src/test/java/org/apache/accumulo/core/metadata/MetadataServicerTest.java,13,2,15%
