"method"," origin"," count"
"mock","org.mockito.Mockito","2595"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>","652"
"when","org.mockito.Mockito","3830"
"then","org.mockito.stubbing.OngoingStubbing<java.lang.String>","4"
"any","org.mockito.ArgumentMatchers","1801"
"getArgument","org.mockito.invocation.InvocationOnMock","26"
"doAnswer","org.mockito.Mockito","74"
"spy","org.mockito.Mockito","275"
"verify","org.mockito.Mockito","657"
"never","org.mockito.Mockito","13"
"thenThrow","org.mockito.stubbing.OngoingStubbing<java.io.OutputStream>","14"
"eq","org.mockito.ArgumentMatchers","315"
"argThat","org.mockito.ArgumentMatchers","22"
"doReturn","org.mockito.Mockito","281"
"forClass","org.mockito.ArgumentCaptor","36"
"doNothing","org.mockito.Mockito","12"
"times","org.mockito.Mockito","134"
"callRealMethod","org.mockito.invocation.InvocationOnMock","24"
"anyString","org.mockito.ArgumentMatchers","191"
"anyObject","org.mockito.ArgumentMatchers","14"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.lang.Integer>","22"
"anyInt","org.mockito.ArgumentMatchers","28"
"contains","org.mockito.ArgumentMatchers","4"
"doThrow","org.mockito.Mockito","36"
"anyLong","org.mockito.ArgumentMatchers","7"
"timeout","org.mockito.Mockito","2"
"thenCallRealMethod","org.mockito.stubbing.OngoingStubbing<java.lang.String>","19"
"anyList","org.mockito.ArgumentMatchers","14"
"anyMap","org.mockito.ArgumentMatchers","4"
"reset","org.mockito.Mockito","16"
"initMocks","org.mockito.MockitoAnnotations","37"
"rule","org.mockito.junit.MockitoJUnit","2"
"doCallRealMethod","org.mockito.Mockito","12"
"extraInterfaces","org.mockito.MockSettings","1"
"withSettings","org.mockito.Mockito","7"
"anyBoolean","org.mockito.ArgumentMatchers","7"
"getArguments","org.mockito.invocation.InvocationOnMock","9"
"newSet","org.mockito.internal.util.collections.Sets","24"
"verifyZeroInteractions","org.mockito.Mockito","6"
"capture","org.mockito.ArgumentCaptor<java.lang.String>","7"
"getValue","org.mockito.ArgumentCaptor<java.lang.String>","5"
"same","org.mockito.ArgumentMatchers","47"
"inOrder","org.mockito.Mockito","2"
"anyListOf","org.mockito.ArgumentMatchers","5"
"validateMockitoUsage","org.mockito.Mockito","1"
"verboseLogging","org.mockito.MockSettings","1"
"nullable","org.mockito.ArgumentMatchers","2"
"setField","org.mockito.internal.util.reflection.FieldSetter","2"
"given","org.mockito.BDDMockito","11"
"instanceFields","org.mockito.internal.util.reflection.Fields.InstanceFields","2"
"filter","org.mockito.internal.util.reflection.Fields.InstanceFields","2"
"allDeclaredFieldsOf","org.mockito.internal.util.reflection.Fields","2"
"jdkField","org.mockito.internal.util.reflection.InstanceField","2"
"set","org.mockito.internal.util.reflection.InstanceField","2"
"willReturn","org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.Boolean>","2"
"atLeastOnce","org.mockito.Mockito","4"
"verifyNoMoreInteractions","org.mockito.Mockito","5"
"getMock","org.mockito.stubbing.OngoingStubbing<java.lang.String>","2"
"returnsFirstArg","org.mockito.AdditionalAnswers","4"
"atLeast","org.mockito.Mockito","3"
"defaultAnswer","org.mockito.MockSettings","4"
"openMocks","org.mockito.MockitoAnnotations","31"
"useConstructor","org.mockito.MockSettings","3"
"isA","org.mockito.ArgumentMatchers","4"
"verifyNoInteractions","org.mockito.Mockito","6"
"mock","org.mockito.Mockito","3691"
"verify","org.mockito.Mockito","855"
"never","org.mockito.Mockito","2"
"times","org.mockito.Mockito","467"
"any","org.mockito.ArgumentMatchers","765"
"extraInterfaces","org.mockito.MockSettings","1"
"withSettings","org.mockito.Mockito","3"
"getMethod","org.mockito.invocation.InvocationOnMock","1"
"when","org.mockito.stubbing.Stubber","4997"
"doAnswer","org.mockito.Mockito","57"
"initMocks","org.mockito.MockitoAnnotations","59"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.Integer>","1449"
"anyString","org.mockito.Matchers","206"
"reset","org.mockito.Mockito","11"
"spy","org.mockito.Mockito","177"
"isA","org.mockito.Matchers","7"
"verifyNoMoreInteractions","org.mockito.Mockito","32"
"verifyZeroInteractions","org.mockito.Mockito","6"
"eq","org.mockito.ArgumentMatchers","800"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.util.concurrent.ScheduledFuture<>>","40"
"anyLong","org.mockito.ArgumentMatchers","531"
"answerVoid","org.mockito.AdditionalAnswers","2"
"thenThrow","org.mockito.stubbing.OngoingStubbing<io.netty.buffer.ByteBuf>","10"
"anyInt","org.mockito.ArgumentMatchers","31"
"getArgument","org.mockito.invocation.InvocationOnMock","19"
"doThrow","org.mockito.Mockito","8"
"anyBoolean","org.mockito.ArgumentMatchers","7"
"callRealMethod","org.mockito.invocation.InvocationOnMock","3"
"isSpy","org.mockito.MockingDetails","1"
"mockingDetails","org.mockito.Mockito","1"
"thenCallRealMethod","org.mockito.stubbing.OngoingStubbing<java.util.concurrent.CompletableFuture<java.lang.Long>>","10"
"defaultAnswer","org.mockito.MockSettings","1"
"useConstructor","org.mockito.MockSettings","1"
"forClass","org.mockito.ArgumentCaptor","24"
"atLeastOnce","org.mockito.Mockito","13"
"same","org.mockito.ArgumentMatchers","20"
"willReturn","org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.String>","21"
"given","org.mockito.BDDMockito","3"
"getArguments","org.mockito.invocation.InvocationOnMock","20"
"lenient","org.mockito.Mockito","148"
"doReturn","org.mockito.Mockito","427"
"mockStatic","org.mockito.Mockito","2"
"isNull","org.mockito.ArgumentMatchers","13"
"argThat","org.mockito.hamcrest.MockitoHamcrest","11"
