class name, frequency
java.net.SocketAddress,3,
java.net.Socket,3,
java.io.InputStream,13,
org.apache.hadoop.conf.Configuration,5,
org.apache.hadoop.fs.FileSystem,12,
org.slf4j.Logger,37,
org.apache.zookeeper.ZooKeeper,7,
org.apache.zookeeper.Watcher,1,
org.apache.hadoop.fs.Path,8,
org.apache.hadoop.fs.FileStatus,5,
org.apache.hadoop.fs.FSDataOutputStream,6,
java.util.function.Predicate<java.lang.String>,5,
java.util.concurrent.ExecutorService,2,
org.apache.hadoop.metrics2.lib.MutableStat,1,
org.apache.hadoop.metrics2.lib.MutableQuantiles,1,
java.util.concurrent.Future<java.lang.Integer>,1,
org.apache.commons.cli.CommandLine,7,
org.jline.reader.LineReader,5,
java.io.PrintWriter,2,
javax.servlet.http.HttpServletRequest,43,
org.apache.maven.project.MavenProject,1,
org.apache.maven.model.Build,1,
java.util.Properties,3,
org.apache.maven.plugin.logging.Log,8,
org.fusesource.mqtt.codec.CONNECT,2,
javax.resource.spi.endpoint.MessageEndpoint,1,
javax.jms.MessageListener,1,
javax.jms.Message,1,
javax.resource.spi.work.WorkManager,4,
javax.resource.spi.endpoint.MessageEndpointFactory,3,
javax.resource.spi.BootstrapContext,3,
javax.sql.DataSource,8,
java.sql.Connection,14,
java.sql.DatabaseMetaData,2,
java.sql.ResultSet,11,
java.sql.PreparedStatement,8,
java.sql.Timestamp,1,
com.google.inject.persist.UnitOfWork,24,
org.eclipse.jetty.server.session.SessionHandler,1,
com.sun.jersey.spi.container.ContainerRequest,3,
javax.ws.rs.core.UriInfo,20,
javax.ws.rs.core.MultivaluedMap,20,
javax.ws.rs.core.HttpHeaders,7,
javax.ws.rs.core.Request,1,
java.io.File,36,
com.google.inject.Provider,20,
com.google.inject.persist.jpa.AmbariJpaPersistService,1,
java.util.Map,28,
javax.persistence.EntityManager,19,
java.lang.Runtime,2,
org.springframework.security.crypto.password.PasswordEncoder,3,
java.util.concurrent.Executor,5,
com.google.inject.Injector,5,
com.google.common.cache.Cache,5,
java.util.Set,5,
java.net.HttpURLConnection,10,
net.sf.ehcache.constructs.blocking.UpdatingCacheEntryFactory,1,
javax.security.auth.login.LoginContext,1,
com.google.common.base.Ticker,8,
java.util.List,21,
org.snmp4j.Snmp,8,
org.snmp4j.PDU,8,
java.net.URI,6,
com.sun.jersey.core.spi.factory.ResponseBuilderImpl,6,
com.sun.jersey.core.spi.factory.ResponseImpl,6,
org.quartz.JobDetail,4,
org.quartz.JobExecutionContext,1,
org.quartz.JobDataMap,1,
javax.servlet.FilterConfig,1,
javax.servlet.http.HttpServletResponse,21,
javax.servlet.FilterChain,15,
org.springframework.security.core.Authentication,2,
org.springframework.security.authentication.AuthenticationManager,2,
javax.servlet.http.HttpSession,5,
javax.servlet.http.Cookie,5,
org.jvnet.libpam.PAM,5,
org.springframework.security.ldap.authentication.LdapAuthenticationProvider,2,
org.springframework.security.ldap.userdetails.LdapUserDetails,1,
org.springframework.ldap.core.DirContextOperations,4,
org.springframework.ldap.core.support.LdapContextSource,2,
org.springframework.security.ldap.search.FilterBasedLdapUserSearch,2,
javax.naming.NamingEnumeration,3,
org.springframework.web.context.request.ServletRequestAttributes,1,
javax.naming.ldap.LdapContext,1,
javax.naming.directory.SearchResult,1,
java.lang.ClassLoader,4,
java.io.FileOutputStream,4,
javax.persistence.EntityManagerFactory,11,
org.eclipse.persistence.jpa.JpaEntityManager,9,
org.eclipse.persistence.sessions.server.ServerSession,9,
org.eclipse.persistence.sessions.DatabaseLogin,9,
javax.persistence.EntityTransaction,8,
org.eclipse.persistence.dynamic.DynamicEntity,9,
javax.persistence.Query,2,
com.datatorrent.stram.api.StreamingContainerUmbilicalProtocol,1,
org.apache.hadoop.yarn.api.records.ApplicationReport,1,
org.apache.hadoop.yarn.api.records.ApplicationId,1,
com.datatorrent.stram.client.StramAgent,1,
org.apache.hadoop.yarn.client.api.YarnClient,1,
com.datatorrent.api.Module,2,
com.datatorrent.api.StatsListener,1,
com.datatorrent.api.StatsListener.StatsListenerWithContext,1,
org.apache.maven.wagon.Wagon,1,
java.nio.channels.ReadableByteChannel,1,
java.io.OutputStream,2,
java.nio.channels.WritableByteChannel,1,
org.apache.jackrabbit.webdav.DavServletRequest,1,
org.apache.jackrabbit.webdav.DavServletResponse,1,
java.lang.Object,1,
org.osgi.framework.BundleContext,29,
org.osgi.framework.ServiceReference,30,
org.osgi.framework.Bundle,105,
org.osgi.service.blueprint.container.BlueprintListener,1,
org.osgi.framework.ServiceRegistration,9,
org.osgi.service.blueprint.container.BlueprintContainer,1,
org.osgi.service.blueprint.reflect.ServiceMetadata,1,
org.osgi.service.blueprint.reflect.BeanMetadata,1,
org.osgi.service.cm.ConfigurationAdmin,10,
org.osgi.service.cm.Configuration,11,
org.osgi.framework.BundleEvent,3,
org.osgi.framework.ServiceEvent,3,
org.osgi.service.packageadmin.PackageAdmin,9,
org.osgi.service.startlevel.StartLevel,4,
org.osgi.service.packageadmin.ExportedPackage,11,
org.osgi.service.packageadmin.RequiredBundle,8,
javax.management.MBeanServer,15,
org.osgi.service.provisioning.ProvisioningService,5,
org.osgi.service.useradmin.User,22,
org.osgi.service.useradmin.Group,11,
org.osgi.service.useradmin.Authorization,2,
org.osgi.service.useradmin.Role,2,
javax.management.DynamicMBean,3,
org.osgi.framework.wiring.BundleWiring,8,
org.osgi.framework.wiring.BundleWire,2,
org.osgi.framework.wiring.BundleRevision,5,
org.osgi.framework.wiring.BundleRequirement,2,
org.osgi.resource.Resource,4,
javax.transaction.TransactionManager,3,
org.osgi.service.coordinator.Coordinator,2,
org.osgi.service.coordinator.Coordination,2,
javax.transaction.Transaction,2,
org.apache.hadoop.mapreduce.lib.input.FileSplit,3,
org.apache.hadoop.mapreduce.TaskAttemptContext,9,
java.util.logging.Handler,1,
org.apache.axiom.soap.SOAPBody,4,
javax.jms.Queue,1,
javax.jms.Session,1,
javax.jms.MessageConsumer,1,
java.lang.Thread.UncaughtExceptionHandler,1,
java.util.concurrent.ScheduledFuture,1,
java.util.function.Function,1,
java.util.concurrent.ScheduledExecutorService,13,
java.lang.Runnable,12,
org.apache.log4j.Appender,3,
io.netty.buffer.ByteBufAllocator,6,
java.util.concurrent.BlockingQueue,2,
java.nio.channels.FileChannel,1,
org.apache.zookeeper.data.Stat,17,
io.netty.channel.ChannelHandlerContext,1,
io.netty.channel.Channel,5,
io.netty.channel.ChannelPromise,15,
io.netty.channel.EventLoop,1,
java.util.concurrent.CountDownLatch,1,
org.apache.zookeeper.AsyncCallback.VoidCallback,1,
com.scurrilous.circe.impl.AbstractStatelessLongHash,1,
com.scurrilous.circe.impl.AbstractIncrementalLongHash,1,
com.scurrilous.circe.impl.AbstractStatelessIntHash,1,
com.scurrilous.circe.impl.AbstractIncrementalIntHash,1,
com.scurrilous.circe.impl.AbstractStatefulHash,1,
org.apache.distributedlog.metadata.LogMetadata,3,
org.apache.distributedlog.metadata.LogMetadataForWriter,3,
org.apache.distributedlog.ZooKeeperClient,4,
org.apache.zookeeper.Op,3,
org.rocksdb.AbstractImmutableNativeReference,1,
io.grpc.ManagedChannel,1,
org.apache.curator.framework.CuratorFramework,1,
org.apache.distributedlog.api.namespace.Namespace,2,
org.apache.distributedlog.api.DistributedLogManager,2,
org.apache.distributedlog.api.AsyncLogWriter,2,
org.apache.distributedlog.api.AsyncLogReader,2,
javax.inject.Provider,2,
org.jclouds.compute.strategy.GetImageStrategy,1,
org.jclouds.compute.domain.NodeMetadata,3,
org.jclouds.domain.Location,1,
org.jclouds.compute.extensions.SecurityGroupExtension,1,
org.jclouds.compute.ComputeService,1,
org.jclouds.compute.domain.Template,4,
org.jclouds.compute.options.TemplateOptions,4,
twitter4j.Status,1,
twitter4j.User,1,
io.atlasmap.api.AtlasSession,1,
io.atlasmap.core.DefaultAtlasSession,1,
org.atmosphere.websocket.WebSocket,2,
com.azure.cosmos.CosmosAsyncDatabase,6,
com.azure.cosmos.models.CosmosContainerResponse,2,
com.azure.cosmos.CosmosAsyncContainer,9,
com.azure.cosmos.models.CosmosDatabaseResponse,2,
javax.validation.ValidationProviderResolver,1,
com.surftools.BeanstalkClient.Job,8,
com.box.sdk.BoxAPIConnection,3,
com.datastax.oss.driver.api.core.cql.ResultSet,3,
com.datastax.oss.driver.api.core.cql.Row,3,
org.apache.cxf.endpoint.Endpoint,1,
org.apache.cxf.binding.Binding,1,
javax.ws.rs.core.Response,1,
org.apache.cxf.transport.ConduitInitiator,1,
org.apache.cxf.ws.addressing.EndpointReferenceType,1,
com.google.cloud.bigquery.BigQuery,2,
com.google.api.services.bigquery.Bigquery.Tabledata,1,
com.google.cloud.bigquery.InsertAllResponse,1,
com.google.cloud.bigquery.TableResult,1,
org.apache.gora.persistency.Persistent,1,
com.hazelcast.transaction.TransactionContext,2,
org.apache.hadoop.fs.FSDataInputStream,2,
com.obs.services.ObsClient,11,
org.influxdb.impl.InfluxDBImpl,1,
org.schwering.irc.lib.IRCConnection,3,
org.schwering.irc.lib.IRCEventAdapter,2,
javax.net.SocketFactory,1,
java.util.concurrent.Future,1,
org.apache.kafka.clients.producer.KafkaProducer,1,
javax.mail.Message,1,
javax.management.ObjectInstance,1,
com.codahale.metrics.MetricRegistry,6,
com.codahale.metrics.Histogram,1,
com.codahale.metrics.Counter,2,
com.codahale.metrics.Timer,1,
com.codahale.metrics.Meter,1,
io.micrometer.core.instrument.MeterRegistry,1,
io.micrometer.core.instrument.Counter,1,
org.apache.mina.transport.socket.SocketConnector,1,
com.googlecode.jsendnsca.NagiosPassiveCheckSender,3,
com.impossibl.postgres.jdbc.PGDataSource,3,
