project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
abdera,4,0,
accumulo,80,19,
activemq,27,18,
airavata,0,0,
ambari,263,62,
any23,4,0,
apex-core,0,8,
archiva,22,9,
aries,8,34,
avro,2,2,
axis,1,5,
beam,0,0,
bookkeeper,109,34,
brooklyn,7,11,
bval,1,0,
calcite,3,0,
camel,68,153,
carbondata,0,0,
cayenne,77,11,
chainsaw,0,0,
chemistry,0,2,
chukwa,0,0,
clerezza,5,0,
cloudstack,131,448,
cocoon,0,0,
commons-bcel,0,0,
credur-whisker,0,0,
wicket,27,7,
wink,11,10,
ws-axiom,0,4,
 
more inside classes mocked: ,more outside classes mocked: 
13,8
