project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
any23,4,0,
apex,0,10,
archiva,22,11,
aries,8,43,
avro,2,2,
axiom,1,4,
axis2,1,6,
beam,0,0,
bookkeeper,119,35,
brooklyn,7,19,
bval,1,0,
calcite,3,0,
camel,104,359,
carbondata,0,0,
cayenne,77,11,
chainsaw,0,0,
chemistry,3,4,
chukwa,0,2,
clerezza,5,0,
cloudstack,220,622,
cocoon,0,0,
commons-bcel,0,0,
whisker,0,0,
 
more inside classes mocked: ,more outside classes mocked: 
7,9
