class name, frequency
java.util.function.Supplier,1,
org.apache.hadoop.fs.Path,1,
org.apache.hadoop.fs.FileSystem,1,
org.apache.hadoop.fs.FSDataInputStream,1,
org.apache.hadoop.mapred.Reporter,1,
org.apache.parquet.io.api.Binary,1,
org.apache.parquet.column.page.DictionaryPageReadStore,2,
org.apache.parquet.hadoop.ParquetFileWriter,1,
org.apache.parquet.hadoop.metadata.ParquetMetadata,2,
org.apache.parquet.io.api.RecordConsumer,30,
org.apache.fontbox.ttf.TrueTypeFont,1,
org.apache.fontbox.ttf.OS2WindowsMetricsTable,1,
org.apache.camel.Exchange,1,
org.apache.camel.Component,1,
org.apache.camel.Processor,1,
java.util.function.Consumer,1,
java.util.concurrent.Callable,1,
java.util.concurrent.CompletableFuture,1,
io.netty.channel.ChannelPipeline,1,
io.netty.channel.ChannelHandlerContext,1,
io.netty.channel.Channel,1,
