class name, frequency
org.apache.hadoop.mapreduce.TaskInputOutputContext,12,
org.apache.hadoop.mapreduce.Job,3,
org.apache.hadoop.fs.FileSystem,15,
org.apache.hadoop.mapreduce.JobContext,12,
org.apache.zookeeper.ZooKeeper,9,
org.apache.zookeeper.data.Stat,6,
org.osgi.framework.BundleContext,4,
org.osgi.framework.Bundle,4,
org.osgi.framework.ServiceReference<java.lang.Object>,2,
java.util.logging.Handler,10,
java.io.InputStream,12,
java.security.cert.X509Certificate,2,
java.security.Principal,2,
javax.resource.spi.ConnectionEventListener,16,
javax.resource.spi.ResourceAdapter,2,
javax.resource.spi.BootstrapContext,2,
javax.resource.spi.ManagedConnectionFactory,2,
javax.resource.spi.ConnectionManager,4,
javax.naming.Reference,2,
java.lang.reflect.InvocationHandler,2,
org.omg.CORBA.Object,6,
java.io.OutputStream,8,
org.omg.CORBA.Request,2,
org.omg.CORBA.NamedValue,2,
org.omg.CORBA.ExceptionList,2,
org.omg.CORBA.ServerRequest,6,
javax.activation.DataSource,4,
javax.servlet.http.HttpServletRequest,48,
javax.servlet.http.HttpServletResponse,28,
javax.servlet.ServletContext,12,
javax.servlet.ServletConfig,6,
javax.servlet.AsyncContext,8,
java.lang.Object,4,
javax.xml.ws.Binding,16,
javax.xml.ws.handler.Handler,8,
javax.xml.ws.spi.http.HttpContext,4,
javax.xml.ws.spi.http.HttpExchange,4,
org.mozilla.javascript.Scriptable,2,
javax.enterprise.inject.spi.BeanManager,6,
javax.enterprise.context.spi.CreationalContext<>,4,
javax.enterprise.inject.spi.Bean<>,4,
javax.ws.rs.client.ClientRequestContext,2,
javax.ws.rs.container.ContainerRequestContext,2,
javax.ws.rs.core.UriInfo,4,
javax.ws.rs.ext.MessageBodyWriter,2,
java.net.HttpURLConnection,2,
javax.net.ssl.HttpsURLConnection,8,
javax.servlet.http.HttpServlet,2,
javax.servlet.ServletInputStream,6,
javax.servlet.ServletOutputStream,6,
org.eclipse.jetty.server.Request,2,
org.eclipse.jetty.server.Response,2,
javax.wsdl.extensions.ExtensibilityElement,6,
org.w3c.dom.Element,12,
javax.xml.bind.JAXBContext,2,
javax.xml.bind.Unmarshaller,2,
org.apache.neethi.Policy,78,
org.apache.neethi.PolicyRegistry,2,
org.apache.neethi.Assertion,8,
java.lang.Exception,4,
org.springframework.core.io.Resource,2,
javax.wsdl.extensions.UnknownExtensibilityElement,2,
org.w3c.dom.Document,2,
java.util.Timer,12,
T,6,
javax.activation.DataHandler,2,
org.apache.directory.ldap.client.api.LdapConnection,3,
org.apache.directory.ldap.client.api.LdapConnectionValidator,3,
