project name, variety of inside mocked classes, variety of outside mocked classes, Sum of mocked classes
abdera,7,0,7
any23,0,0,0
ant-ivyde,0,0,0
ant-ivy,0,0,0
guacamole-client,0,0,0
hama,0,0,0
hbase,169,43,212
helix,46,8,54
hive,184,75,259
hop,175,103,278
httpcomponents-client,0,68,68
httpcomponents-core,0,28,28
hudi,28,21,49
ignite,38,12,50
iotdb,8,2,10
jackrabbit,1,4,5
jclouds,0,0,0
any23,4,0,4
apex,0,10,10
archiva,22,11,33
aries,8,43,51
avro,2,2,4
axiom,1,4,5
axis2,1,6,7
beam,0,0,0
bookkeeper,119,35,154
brooklyn,7,19,26
bval,1,0,1
calcite,3,0,3
camel,104,359,463
carbondata,0,0,0
cayenne,77,11,88
chainsaw,0,0,0
chemistry,3,4,7
chukwa,0,2,2
clerezza,5,0,5
cloudstack,220,622,842
cocoon,0,0,0
commons-bcel,0,0,0
whisker,0,0,0
kerby,0,0,0
karaf,16,30,46
jena,5,0,5
jspwiki,0,3,3
knox,63,47,110
log4j,12,33,45
mahout,1,0,1
manifoldcf,15,9,24
maven,24,3,27
metamodel,5,12,17
mina,19,4,23
mrunit,0,3,3
myfaces,6,32,38
ode,0,0,0
ofbiz,12,10,22
olingo,74,10,84
oltu,0,1,1
OODT,0,19,19
oozie,45,36,81
openJPA,0,9,9
openMeetings,0,22,22
openNLP,0,1,1
openwebbeans,0,0,0
ant-antlibs-props,0,0,0
orc,5,5,10
parquet-mr,0,5,5
pdfbox,0,2,2
phoenix,0,0,0
pig,0,0,0
pivot,0,0,0
plc4x,23,9,32
poi,0,0,0
polygene-java,0,0,0
creadur-rat,0,0,0
qpid,0,0,0
reef,8,0,8
river-container,0,0,0
roller,0,0,0
sandesha,0,0,0
santuario-xml-security-java,0,0,0
servicemix,0,0,0
shindig,62,13,75
shiro,23,18,41
mina-sshd,0,30,30
sis,0,0,0
skywalking,43,17,60
spark,20,5,25
sqoop,0,0,0
stanbol,0,0,0
storm,86,25,111
stratos,0,0,0
struts,21,31,52
creadur-tentacles,0,0,0
myfaces-tobago,0,0,0
synapse,0,0,0
syncope,47,20,67
tajo,0,0,0
tapestry-5,0,4,4
tez,107,45,152
thrift,0,1,1
tika,3,7,10
tiles,30,33,63
ant-antlibs-vss,0,0,0
mina-vysper,0,54,54
tomcat,0,0,0
tomee,0,1,1
turbine-core,0,0,0
tuscany-sca-2.x,0,0,0
uima-uimaj,0,0,0
velocity-engine,0,0,0
vxquery,0,0,0
whirr,9,1,10
creadur-whisker,0,0,0
wicket,2,1,3
wink,11,14,25
wookie,0,0,0
xalan-j,0,0,0
xerces2-j,0,0,0
xmlbeans,0,0,0
xmlgraphics-commons,0,16,16
yetus,0,1,1
zookeeper,29,20,49
commons-beanutils,0,0,0
commons-bsf,0,0,0
commons-chain,0,7,7
commons-cli,0,0,0
commons-codec,0,0,0
commons-collections,0,4,4
commons-compress,0,1,1
commons-configuration,0,67,67
commons-crypto,0,0,0
commons-csv,0,1,1
commons-daemon,0,0,0
commons-dbcp,0,5,5
commons-dbutils,0,12,12
commons-digester,0,0,0
commons-email,0,1,1
commons-exec,0,0,0
commons-fileupload,0,2,2
commons-functor,0,0,0
commons-geometry,0,0,0
httpcomponents-client,0,68,68
commons-io,0,4,4
commons-jxpath,0,0,0
commons-lang,0,9,9
commons-text,0,0,0
commons-vfs,0,0,0
commons-weaver,0,0,0
continuum,0,0,0
crunch,20,9,29
ctakes,0,0,0
curator,4,2,6
cxf,163,72,235
deltaspike,2,5,7
derby,0,0,0
directmemory,0,4,4
directory-ldap-api,0,2,2
directory-server,0,0,0
directory-studio,0,0,0
empire-db,0,3,3
falcon,12,13,25
flink,224,53,277
flume,21,32,53
fluo recipes,0,5,5
fluo,0,1,1
fop,101,23,124
giraph,14,8,22
groovy,0,1,1
