Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks
abdera,1500,16,12,679,60506,97,11036,5,1
accumulo,10963,170,38,2153,390794,736,103461,111,2
ace,1603,15,0,529,58600,128,17867,16,2
activemq,10887,152,72,4383,424832,2138,217537,19,3
airavata,9415,85,18,1077,485205,109,10501,3,1
ambari,24588,230,77,3306,424392,947,185955,429,4
ant-antlibs-antunit,232,14,11,37,3037,15,1172,0,0
ant-antlibs-dotnet,85,3,4,22,2779,1,5,0,0
ant,14720,108,92,1322,145241,412,34449,0,0
bookkeeper,2496,148,37,2163,244491,634,105823,154,3
brooklyn,217,33,13,3279,352360,1414,159650,30,2
bval,1103,15,12,319,22558,112,5545,1,1
calcite,4642,357,65,2134,332963,311,141336,1,1
camel,53398,1071,180,20491,1564819,10871,617444,446,10
creadur-whisker,487,7,1,107,5453,48,2634,0,0
wicket,21099,136,283,3269,217882,1438,81163,22,1
wink,895,15,12,1372,126070,799,74522,170,2
wookie,1921,13,11,295,27851,65,11463,0,0
xalan-j,4561,34,84,958,170768,9,1027,0,0
xerces2-j,5510,34,98,833,140948,65,11763,0,0
xmlbeans,1594,24,39,1027,133073,521,52580,2,1
xmlgraphics-commons,587,16,16,400,35749,74,5267,6,1
zeppelin,4912,485,33,947,162068,274,38071,66,5
zookeeper,2337,218,118,888,114798,400,57294,40,2
