Project Name,File,Framework,Mock Method,# of Invocations,% of Invocations
abdera,MimeTypeHelperTest.java,easymock,createMock,3,5.36
abdera,SimpleOpenSearchInfoTest.java,easymock,andReturn,2,7.41
abdera,SimpleOpenSearchInfoTest.java,easymock,replay,1,3.6999999999999997
abdera,SimpleOpenSearchInfoTest.java,easymock,anyTimes,2,7.41
abdera,SimpleOpenSearchInfoTest.java,easymock,expect,2,7.41
abdera,SimpleOpenSearchInfoTest.java,easymock,createMock,1,3.6999999999999997
abdera,EntryRequestProcessorTest.java,easymock,createStrictMock,3,4.17
abdera,EntryRequestProcessorTest.java,easymock,andReturn,12,16.669999999999998
abdera,EntryRequestProcessorTest.java,easymock,replay,18,25.0
abdera,EntryRequestProcessorTest.java,easymock,expect,12,16.669999999999998
abdera,EntryRequestProcessorTest.java,easymock,verify,3,4.17
abdera,MediaRequestProcessorTest.java,easymock,createStrictMock,3,4.17
abdera,MediaRequestProcessorTest.java,easymock,andReturn,12,16.669999999999998
abdera,MediaRequestProcessorTest.java,easymock,replay,18,25.0
abdera,MediaRequestProcessorTest.java,easymock,expect,12,16.669999999999998
abdera,MediaRequestProcessorTest.java,easymock,verify,3,4.17
abdera,RouteTest.java,easymock,andReturn,2,1.4500000000000002
abdera,RouteTest.java,easymock,replay,2,1.4500000000000002
abdera,RouteTest.java,easymock,expect,2,1.4500000000000002
abdera,RouteTest.java,easymock,createMock,2,1.4500000000000002
accumulo,CompactionCoordinatorTest.java,easymock,anyObject,10,1.6500000000000001
accumulo,CompactionCoordinatorTest.java,powermock,methods,10,1.6500000000000001
accumulo,CompactionCoordinatorTest.java,powermock,getInternalState,1,0.16999999999999998
accumulo,CompactionCoordinatorTest.java,powermock,resetAll,6,0.9900000000000001
accumulo,CompactionCoordinatorTest.java,easymock,isA,1,0.16999999999999998
accumulo,CompactionCoordinatorTest.java,powermock,verifyAll,6,0.9900000000000001
accumulo,CompactionCoordinatorTest.java,powermock,constructor,6,0.9900000000000001
accumulo,CompactionCoordinatorTest.java,powermock,mockStatic,5,0.83
accumulo,CompactionCoordinatorTest.java,easymock,expect,47,7.76
accumulo,CompactionCoordinatorTest.java,powermock,replayAll,6,0.9900000000000001
accumulo,CompactionCoordinatorTest.java,powermock,suppress,16,2.64
accumulo,CompactionCoordinatorTest.java,powermock,createNiceMock,60,9.9
accumulo,CompactorTest.java,powermock,methods,6,2.65
accumulo,CompactorTest.java,powermock,newInstance,1,0.44
accumulo,CompactorTest.java,powermock,resetAll,3,1.3299999999999998
accumulo,CompactorTest.java,powermock,verifyAll,3,1.3299999999999998
accumulo,CompactorTest.java,powermock,constructor,3,1.3299999999999998
accumulo,CompactorTest.java,easymock,andReturn,3,1.3299999999999998
accumulo,CompactorTest.java,easymock,expect,27,11.95
accumulo,CompactorTest.java,easymock,anyTimes,3,1.3299999999999998
accumulo,CompactorTest.java,powermock,replayAll,3,1.3299999999999998
accumulo,CompactorTest.java,powermock,suppress,9,3.9800000000000004
accumulo,CompactorTest.java,powermock,createNiceMock,24,10.620000000000001
accumulo,ZooKeeperInstanceTest.java,easymock,resetToDefault,1,0.62
accumulo,ZooKeeperInstanceTest.java,easymock,reset,2,1.23
accumulo,ZooKeeperInstanceTest.java,easymock,andReturn,14,8.64
accumulo,ZooKeeperInstanceTest.java,easymock,replay,14,8.64
accumulo,ZooKeeperInstanceTest.java,easymock,expect,30,18.52
accumulo,ZooKeeperInstanceTest.java,easymock,createMock,10,6.17
accumulo,RootTabletLocatorTest.java,easymock,replay,2,11.76
accumulo,RootTabletLocatorTest.java,easymock,expect,2,11.76
accumulo,RootTabletLocatorTest.java,easymock,createMock,3,17.65
accumulo,RootTabletLocatorTest.java,easymock,verify,1,5.88
accumulo,ScannerImplTest.java,easymock,createMock,1,10.0
accumulo,ThriftTransportKeyTest.java,easymock,replay,2,3.64
accumulo,ThriftTransportKeyTest.java,easymock,expect,4,7.2700000000000005
accumulo,ThriftTransportKeyTest.java,easymock,createMock,6,10.91
