Mock Method,# of Invocations,% of Framework Invocations
assertIsSatisfied,58,3.58
of,10,0.62
checking,99,6.11
exactly,8,0.49
mock,158,9.76
setImposteriser,13,0.8
throwException,5,0.31
will,316,19.52
never,2,0.12
same,2,0.12
oneOf,217,13.4
with,118,7.290000000000001
any,77,4.760000000000001
allowing,168,10.38
returnValue,304,18.78
getParameter,5,0.31
then,2,0.12
startsAs,2,0.12
isActive,1,0.06
is,5,0.31
states,2,0.12
when,2,0.12
equal,16,0.9900000000000001
atLeast,2,0.12
tick,3,0.19
inSequence,20,1.24
sequence,4,0.25
