Mock Method,# of Invocations,% of Framework Invocations
any,1338,8.94
doThrow,29,0.19
thenReturn,707,4.73
when,4034,26.96
spy,105,0.7000000000000001
mock,1897,12.68
inOrder,50,0.33
thenThrow,19,0.13
verify,2007,13.41
verifyNoMoreInteractions,121,0.8099999999999999
times,1123,7.51
doNothing,46,0.31
forClass,65,0.43
capture,73,0.49
getValue,86,0.5700000000000001
getArgument,18,0.12
thenAnswer,40,0.27
anyBoolean,40,0.27
anyString,487,3.25
anyCollectionOf,5,0.03
eq,1391,9.3
doAnswer,121,0.8099999999999999
anyLong,241,1.6099999999999999
doReturn,73,0.49
getArguments,121,0.8099999999999999
anyListOf,18,0.12
atLeastOnce,49,0.33
reset,28,0.19
initMocks,11,0.06999999999999999
anyObject,3,0.02
never,101,0.6799999999999999
atLeast,19,0.13
anyInt,90,0.6
anyList,23,0.15
same,94,0.63
isA,27,0.18
answerVoid,2,0.01
anySet,6,0.04
anyMap,13,0.09
defaultAnswer,1,0.01
useConstructor,1,0.01
withSettings,2,0.01
anyDouble,9,0.06
newSet,1,0.01
timeout,11,0.06999999999999999
isNull,94,0.63
get,1,0.01
verifyZeroInteractions,1,0.01
given,3,0.02
getAllValues,8,0.05
lenient,50,0.33
argThat,15,0.1
atMost,10,0.06999999999999999
doCallRealMethod,2,0.01
invocationListeners,1,0.01
openMocks,2,0.01
anyShort,4,0.03
callRealMethod,2,0.01
anyChar,1,0.01
then,17,0.11
returnsFirstArg,2,0.01
anyIterable,2,0.01
verifyNoInteractions,1,0.01
