Mock Method,# of Invocations,% of Framework Invocations
getRequest,9,0.6799999999999999
setScheme,6,0.44999999999999996
setMethod,15,1.13
setServerPort,10,0.76
getResponse,4,0.3
setRequestURI,11,0.83
setServerName,5,0.38
setLocalPort,2,0.15
sendRequest,1,0.08
createClient,1,0.08
getContentType,51,3.85
addHeader,110,8.309999999999999
getContentAsString,349,26.36
getStatus,473,35.730000000000004
setCharacterEncoding,3,0.22999999999999998
getHeader,98,7.3999999999999995
setContent,46,3.47
getContentAsByteArray,21,1.59
setContentType,49,3.6999999999999997
addInitParameter,7,0.53
setQueryString,23,1.7399999999999998
getParameter,4,0.3
getParameterMap,3,0.22999999999999998
setParameter,2,0.15
setContextPath,4,0.3
addParameter,4,0.3
setSecure,9,0.6799999999999999
getContentLength,1,0.08
setServletPath,2,0.15
setAttribute,1,0.08
