Mock Method,# of Invocations,% of Framework Invocations
withHeader,30,6.41
stop,9,1.92
port,10,2.1399999999999997
willReturn,37,7.91
start,9,1.92
aResponse,37,7.91
options,3,0.64
stubFor,37,7.91
urlEqualTo,39,8.33
post,6,1.28
dynamicPort,7,1.5
baseUrl,1,0.21
extensions,1,0.21
get,31,6.619999999999999
urlPathEqualTo,20,4.2700000000000005
withBody,35,7.48
withStatus,16,3.42
configureFor,1,0.21
resetRequests,6,1.28
equalTo,37,7.91
verify,22,4.7
postRequestedFor,3,0.64
wireMockConfig,6,1.28
withQueryParam,6,1.28
getRequestedFor,19,4.06
withRequestBody,3,0.64
keyStorePath,3,0.64
keystoreType,3,0.64
getOptions,3,0.64
containerThreads,3,0.64
keystorePassword,3,0.64
keystorePath,3,0.64
dynamicHttpsPort,3,0.64
httpServerFactory,3,0.64
httpsPort,4,0.8500000000000001
keyStorePassword,3,0.64
keyStoreType,3,0.64
httpsSettings,3,0.64
