Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks
any23,1934,43,23,438,28862,99,8475,5,1
apex-core,6122,82,21,474,75250,130,24797,9,3
archiva,8670,48,65,972,121425,282,47344,41,3
aries,5812,56,483,2065,164201,757,58504,52,3
avro,2850,269,83,666,80622,299,44914,6,1
axis-axis2-java-core,13780,84,44,3007,300181,1282,96829,8,3
beam,32513,979,124,4933,634888,1937,322931,293,6
bookkeeper,2499,149,37,2163,244491,634,105823,154,3
brooklyn,217,33,13,3279,352360,1414,159650,30,2
bval,1103,15,12,319,22558,112,5545,1,1
calcite,4649,359,65,2134,333199,311,141437,1,1
camel,53496,1079,180,20528,1566610,10881,618114,447,10
carbondata,4873,256,35,1135,140776,138,24812,36,1
cassandra,26592,461,267,3020,476039,1015,204545,8,1
cayenne,6716,65,45,4165,293783,1702,115732,118,3
chainsaw,934,9,35,189,26358,8,621,0,0
chemistry-opencmis,2234,16,37,1045,130288,177,29805,4,1
chukwa,854,20,25,469,43078,117,9727,1,1
clerezza,2324,27,20,243,14982,50,4909,1,1
click,5009,13,54,461,47903,106,7477,0,0
cloudstack,34291,577,146,5761,670979,675,92272,347,7
cocoon,13161,73,75,2531,196034,166,9753,5,2
commons-bcel,1738,36,25,515,41345,86,4168,0,0
ws-axiom,4659,35,67,1944,72680,1183,40696,10,2
